N_Contact;Date;Agent_ID;Durée_Traitement_Sec;Status;Note_Satisfaction_Client;Montant Facture;Canal;Sujet;Appel traité;Appel repris;Conforme;NPS;Réclamation
CNT-70490;12/05/2023;AG009;306;Résolu;5;22,42;Réseaux Sociaux;Souscription contrat;Oui;Oui;Oui;9;Non
CNT-70491;14/05/2023;AG009;316;En Attente;5;35,99;Email;Réclamation;Oui;Non;Oui;6;Non
CNT-70492;21/04/2023;AG009;262;Résolu;;9,77;Téléphone;Résiliation;Oui;Oui;Non Renseigné;6;Oui
CNT-70493;20/01/2023;AG006;153;En Attente;2;25,06;Email;Réclamation;Oui;Non;Oui;;Non
CNT-70494;13/10/2023;AG003;255;Résolu;5;26,29;Email;Relevé compteur;Oui;Oui;Oui;7;Non
CNT-70495;15/03/2023;AG001;180;Résolu;5;27,22;Téléphone;Litige paiement;Oui;Non;Oui;;Non
CNT-70496;13/03/2023;AG001;246;Non Résolu;;40,02;Chat;Panne compteur;Oui;Non;Oui;7;Non
CNT-70497;05/05/2023;AG006;216;Non Résolu;4;24,13;Chat;Facturation;Oui;Non;Oui;;Non
CNT-70498;03/12/2023;AG007;174;Résolu;3;26,35;Email;Facturation;Oui;Oui;Oui;0;Oui
CNT-70499;20/06/2023;AG007;401;Résolu;4;;Téléphone;Demande d'information;Non;Non;Oui;;Non
CNT-70500;23/03/2023;AG003;320;Non Résolu;4;13,46;Téléphone;Souscription contrat;Oui;Oui;Non;;Non
CNT-70501;15/08/2023;AG008;268;En Attente;4;;Réseaux Sociaux;Résiliation;Non;Oui;Oui;6;Non
CNT-70502;08/05/2023;AG008;269;Résolu;3;47,91;Chat;Souscription contrat;Oui;Non;Oui;;Non
CNT-70503;08/04/2023;AG002;220;Résolu;4;49,58;Email;Réclamation;Oui;Non;Oui;;Non
CNT-70504;04/12/2023;AG003;;Non Résolu;4;35,44;Email;Relevé compteur;Oui;Oui;Oui;5;Non
CNT-70505;25/02/2023;AG007;115;En Attente;5;31,78;Email;Résiliation;Oui;Non;Oui;2;Non
CNT-70506;17/04/2023;AG001;350;Non Résolu;;39,6;Chat;Facturation;Oui;Non;Oui;2;Non
CNT-70507;24/01/2023;AG008;292;Non Résolu;4;29,37;Chat;Relevé compteur;Oui;Non;Oui;7;Non
CNT-70508;03/08/2023;AG006;474;Non Résolu;4;27,68;Chat;Facturation;Oui;Oui;Non;;Non
CNT-70509;19/05/2023;AG009;201;Résolu;;27,77;Email;Changement d'offre;Oui;Non;Oui;;Non
CNT-70510;05/06/2023;AG002;392;Résolu;4;20,43;Chat;Réclamation;Non;Non;Oui;5;Non
CNT-70511;02/04/2023;AG001;255;En Attente;3;30,43;Email;Changement d'offre;Oui;Non;Non;7;Non
CNT-70512;05/02/2023;AG001;184;En Attente;5;48,29;Réseaux Sociaux;Souscription contrat;Non;Non;Non;5;Non
CNT-70513;28/07/2023;AG006;230;Résolu;4;44,04;Email;Facturation;Oui;Non;Oui;;Non
CNT-70514;08/01/2023;AG002;280;Non Résolu;4;23,25;Téléphone;Déménagement;Non;Non;Non Renseigné;3;Non
CNT-70515;30/12/2023;AG001;220;Résolu;5;49,79;Email;Résiliation;Oui;Non;Non Renseigné;7;Non
CNT-70516;30/11/2023;AG008;156;Résolu;3;32,28;Réseaux Sociaux;Facturation;Oui;Non;Oui;;Non
CNT-70517;19/04/2023;AG001;181;Non Résolu;4;43,24;Chat;Souscription contrat;Oui;Oui;Oui;10;Non
CNT-70518;19/02/2023;AG002;321;Résolu;5;11,52;Chat;Souscription contrat;Non;Non;Oui;8;Non
CNT-70519;20/04/2023;AG002;170;En Attente;4;46,68;Email;Réclamation;Oui;Non;Non Renseigné;;Non
CNT-70520;19/01/2023;AG002;;Non Résolu;2;48,91;Chat;Litige paiement;Oui;Non;Non;8;Non
CNT-70521;24/08/2023;AG001;207;Résolu;5;49,61;Téléphone;Souscription contrat;Oui;Non;Oui;;Non
CNT-70522;21/10/2023;AG004;173;Résolu;4;;Réseaux Sociaux;Facturation;Oui;Non;Non;;Non
CNT-70523;18/06/2023;AG003;294;En Attente;5;29,75;Email;Changement d'offre;Oui;Non;Oui;9;Non
CNT-70524;31/12/2023;AG009;406;Non Résolu;5;32,35;Téléphone;Réclamation;Oui;Non;Non;;Non
CNT-70525;15/03/2023;AG003;556;En Attente;4;9,77;Email;Souscription contrat;Oui;Oui;Oui;9;Non
CNT-70526;05/12/2023;AG008;361;Résolu;5;13,73;Chat;Résiliation;Oui;Non;Oui;;Non
CNT-70527;08/10/2023;AG003;360;Non Résolu;2;32,38;Réseaux Sociaux;Panne compteur;Oui;Non;Oui;7;Non
CNT-70528;30/06/2023;AG008;441;Résolu;4;12,5;Chat;Déménagement;Oui;Non;Oui;7;Oui
CNT-70529;15/03/2023;AG003;328;Résolu;3;34,69;Chat;Déménagement;Oui;Non;Oui;5;Non
CNT-70530;10/03/2023;AG006;265;Non Résolu;5;40,71;Téléphone;Facturation;Oui;Non;Oui;7;Non
CNT-70531;18/03/2023;AG009;78;Résolu;;37,93;Réseaux Sociaux;Relevé compteur;Oui;Non;Oui;10;Non
CNT-70532;26/05/2023;AG009;282;Résolu;4;48,73;Email;Relevé compteur;Oui;Non;Oui;4;Non
CNT-70533;15/05/2023;AG002;163;Résolu;4;15,43;Téléphone;Litige paiement;Oui;Oui;Oui;4;Non
CNT-70534;13/11/2023;AG005;305;Résolu;4;40,73;Email;Litige paiement;Oui;Oui;Oui;8;Non
CNT-70535;11/01/2023;AG008;338;Non Résolu;5;20,56;Chat;Résiliation;Oui;Non;Oui;8;Non
CNT-70536;19/04/2023;AG002;312;Résolu;3;23,75;Téléphone;Réclamation;Oui;Non;Non;8;Oui
CNT-70537;27/08/2023;AG007;232;Résolu;3;11,58;Réseaux Sociaux;Panne compteur;Oui;Non;Oui;9;Non
CNT-70538;08/06/2023;AG006;162;En Attente;5;41,66;Téléphone;Résiliation;Oui;Non;Oui;10;Non
CNT-70539;29/12/2023;AG006;286;Non Résolu;4;35,31;Réseaux Sociaux;Relevé compteur;Oui;Non;Oui;;Non
CNT-70540;17/06/2023;AG006;289;Non Résolu;3;13,6;Chat;Résiliation;Oui;Non;Oui;;Non
CNT-70541;07/10/2023;AG002;299;Résolu;3;24,62;Réseaux Sociaux;Litige paiement;Oui;Non;Non;5;Non
CNT-70542;16/09/2023;AG004;217;Non Résolu;5;48,87;Email;Déménagement;Oui;Non;Oui;;Non
CNT-70543;28/08/2023;AG005;402;En Attente;3;39,17;Téléphone;Facturation;Non;Non;Non;;Non
CNT-70544;06/12/2023;AG009;323;Résolu;4;30,99;Email;Changement d'offre;Oui;Non;Oui;8;Non
CNT-70545;21/09/2023;AG002;300;Non Résolu;4;20,85;Téléphone;Litige paiement;Oui;Non;Oui;7;Non
CNT-70546;27/08/2023;AG003;127;En Attente;5;22,39;Chat;Changement d'offre;Oui;Non;Oui;3;Non
CNT-70547;26/11/2023;AG007;134;Résolu;;18,96;Email;Relevé compteur;Oui;Non;Non;8;Non
CNT-70548;11/01/2023;AG005;343;Non Résolu;5;21,59;Téléphone;Résiliation;Oui;Non;Oui;9;Non
CNT-70549;24/12/2023;AG002;282;Non Résolu;3;16,65;Téléphone;Réclamation;Oui;Oui;Oui;;Non
CNT-70550;22/11/2023;AG001;309;Résolu;5;47,16;Email;Panne compteur;Oui;Oui;Oui;7;Non
CNT-70551;10/02/2023;AG004;329;Résolu;4;15,79;Chat;Litige paiement;Oui;Non;Non;;Non
CNT-70552;03/12/2023;AG008;273;Non Résolu;5;34,19;Réseaux Sociaux;Résiliation;Oui;Non;Oui;8;Non
CNT-70553;04/03/2023;AG008;145;Résolu;;28,69;Téléphone;Litige paiement;Non;Non;Non Renseigné;10;Non
CNT-70554;12/08/2023;AG009;138;Résolu;5;28,66;Téléphone;Facturation;Oui;Non;Oui;;Non
CNT-70555;16/10/2023;AG003;297;Résolu;5;35,98;Email;Changement d'offre;Oui;Non;Non Renseigné;9;Non
CNT-70556;03/04/2023;AG009;443;Non Résolu;5;27,5;Téléphone;Déménagement;Non;Non;Non;;Non
CNT-70557;03/01/2023;AG006;191;Résolu;2;22,68;Réseaux Sociaux;Panne compteur;Non;Non;Oui;;Non
CNT-70558;11/10/2023;AG004;184;En Attente;4;9,95;Email;Réclamation;Oui;Non;Oui;5;Oui
CNT-70559;03/04/2023;AG002;92;En Attente;3;36,41;Téléphone;Souscription contrat;Oui;Non;Non;9;Non
CNT-70560;13/11/2023;AG002;218;Résolu;4;10,89;Téléphone;Souscription contrat;Oui;Non;Non;8;Non
CNT-70561;12/12/2023;AG006;359;Non Résolu;;;Réseaux Sociaux;Relevé compteur;Non;Non;Oui;;Non
CNT-70562;31/07/2023;AG008;228;En Attente;;39,28;Réseaux Sociaux;Panne compteur;yes;Non;Oui;;Non
CNT-70563;04/03/2023;AG002;168;En Attente;5;21,05;Réseaux Sociaux;Panne compteur;Non;Non;Oui;;Non
CNT-70564;18/04/2023;AG008;77;Résolu;4;13,83;Chat;Litige paiement;Oui;Oui;Oui;8;Non
CNT-70565;21/11/2023;AG004;421;En Attente;4;22,54;Réseaux Sociaux;Litige paiement;Oui;Non;Oui;;Non
CNT-70566;06/12/2023;AG001;333;Résolu;5;13,91;Chat;Litige paiement;Oui;Non;Oui;7;Non
CNT-70567;17/09/2023;AG005;408;Résolu;5;15,7;Email;Changement d'offre;Non;Non;Oui;;Non
CNT-70568;25/09/2023;AG009;;Résolu;3;23,33;Téléphone;Litige paiement;Oui;Oui;Oui;;Non
CNT-70569;02/06/2023;AG009;310;Résolu;2;33,41;Email;Panne compteur;;Non;Oui;;Non
CNT-70570;07/03/2023;AG007;207;Résolu;4;9,83;Téléphone;Facturation;Oui;Non;Non Renseigné;8;Oui
CNT-70571;26/04/2023;AG009;168;Non Résolu;4;40,5;Téléphone;Relevé compteur;Non;Oui;Oui;;Non
CNT-70572;30/01/2023;AG005;382;Résolu;;38,04;Chat;Panne compteur;Oui;Non;Oui;3;Non
CNT-70573;09/09/2023;AG007;221;Non Résolu;4;;Chat;Litige paiement;Oui;Non;Non;;Oui
CNT-70574;18/05/2023;AG009;206;En Attente;4;16,59;Téléphone;Relevé compteur;Oui;Non;Oui;3;Non
CNT-70575;23/11/2023;AG005;342;Non Résolu;3;48,85;Réseaux Sociaux;Souscription contrat;Oui;Non;Oui;2;Non
CNT-70576;02/06/2023;AG005;339;Résolu;3;;Email;Relevé compteur;Oui;Non;Non;9;Non
CNT-70577;30/10/2023;AG006;311;Résolu;5;9,54;Chat;Facturation;Oui;Oui;Oui;;Non
CNT-70578;17/06/2023;AG009;389;En Attente;4;12,2;Téléphone;Réclamation;Oui;Non;Non;9;Non
CNT-70579;09/03/2023;AG008;182;Résolu;4;32,26;Téléphone;Résiliation;Oui;Non;Oui;8;Non
CNT-70580;05/10/2023;AG002;228;Non Résolu;5;18,67;Réseaux Sociaux;Litige paiement;Oui;Non;Oui;;Non
CNT-70581;26/03/2023;AG009;255;En Attente;5;20,68;Email;Déménagement;Oui;Non;Non;;Non
CNT-70582;09/12/2023;AG007;288;En Attente;3;18,94;Chat;Déménagement;Non;Non;Oui;10;Non
CNT-70583;14/03/2023;AG005;175;Résolu;5;20,38;Téléphone;Réclamation;Oui;Non;Oui;3;Non
CNT-70584;16/11/2023;AG006;252;Non Résolu;4;25,08;Téléphone;Souscription contrat;Oui;Non;Oui;9;Non
CNT-70585;06/05/2023;AG007;354;Résolu;1;38,68;Téléphone;Réclamation;Oui;Non;Non;;Non
CNT-70586;30/08/2023;AG003;475;Résolu;4;22,06;Téléphone;Relevé compteur;Oui;Non;Oui;9;Non
CNT-70587;28/08/2023;AG009;159;Non Résolu;5;40,67;Chat;Facturation;Oui;Non;Oui;9;Oui
CNT-70588;06/07/2023;AG003;172;En Attente;5;48,26;Chat;Demande d'information;Oui;Non;Oui;;Oui
CNT-70589;31/10/2023;AG006;185;En Attente;5;27,8;Téléphone;Réclamation;yes;Non;Oui;7;Non
CNT-70590;21/06/2023;AG003;326;En Attente;2;20,66;Email;Demande d'information;Non;Non;Oui;9;Non
CNT-70591;28/03/2023;AG001;165;Résolu;4;19,96;Téléphone;Relevé compteur;Non;Oui;Oui;7;Non
CNT-70592;28/04/2023;AG001;248;Résolu;5;33,88;Email;Relevé compteur;Oui;Non;Oui;10;Non
CNT-70593;19/06/2023;AG003;238;Résolu;5;;Email;Litige paiement;Oui;Non;Non;7;Non
CNT-70594;25/02/2023;AG005;252;Résolu;4;34,72;Téléphone;Résiliation;Oui;Non;Oui;;Non
CNT-70595;27/06/2023;AG007;154;Résolu;5;43,8;Téléphone;Facturation;Oui;Non;Oui;8;Non
CNT-70596;27/03/2023;AG002;324;Non Résolu;2;18,63;Réseaux Sociaux;Réclamation;Oui;Non;Non;;Non
CNT-70597;13/08/2023;AG001;204;En Attente;;36,75;Téléphone;Changement d'offre;Oui;Non;Oui;;Non
CNT-70598;04/08/2023;AG006;162;Non Résolu;3;38,28;Téléphone;Facturation;Non;Non;Oui;9;Non
CNT-70599;18/09/2023;AG003;242;Résolu;3;17,93;Email;Relevé compteur;Oui;Oui;Oui;8;Non
CNT-70600;02/11/2023;AG006;212;Non Résolu;5;35,78;Chat;Déménagement;Oui;Oui;Oui;;Non
CNT-70601;15/05/2023;AG007;151;Résolu;5;18,59;Email;Relevé compteur;Oui;Non;Oui;5;Non
CNT-70602;08/04/2023;AG006;;Résolu;4;18,59;Chat;Souscription contrat;Oui;Non;Oui;;Non
CNT-70603;15/03/2023;AG005;158;Résolu;5;11,2;Téléphone;Relevé compteur;Oui;Oui;Oui;10;Non
CNT-70604;01/07/2023;AG008;400;Non Résolu;5;38,33;Téléphone;Déménagement;Oui;Non;Oui;;Non
CNT-70605;07/05/2023;AG009;225;Non Résolu;4;44,29;Email;Facturation;Oui;Non;Oui;;Non
CNT-70606;19/06/2023;AG006;240;Résolu;;23,51;Chat;Résiliation;Oui;Non;Non;7;Non
CNT-70607;07/06/2023;AG002;94;Résolu;5;23,59;Réseaux Sociaux;Résiliation;Oui;Oui;Non Renseigné;;Non
CNT-70608;26/11/2023;AG009;308;Non Résolu;3;49,68;Téléphone;Souscription contrat;Oui;Non;Oui;8;Oui
CNT-70609;06/04/2023;AG001;326;Résolu;5;34,15;Chat;Relevé compteur;Oui;Non;Non Renseigné;;Non
CNT-70610;20/11/2023;AG003;172;En Attente;4;49,86;Téléphone;Facturation;Oui;Non;Oui;;Non
CNT-70611;10/02/2023;AG005;252;Non Résolu;3;31,61;Téléphone;Changement d'offre;Oui;Non;Oui;;Non
CNT-70612;01/01/2023;AG004;183;En Attente;2;31,46;Téléphone;Souscription contrat;Oui;Non;Oui;;Non
CNT-70613;05/09/2023;AG009;423;Résolu;5;47,65;Réseaux Sociaux;Relevé compteur;Oui;Non;Oui;10;Non
CNT-70614;10/03/2023;AG005;208;Résolu;5;15,23;Téléphone;Panne compteur;Oui;Non;Oui;10;Non
CNT-70615;10/05/2023;AG003;176;En Attente;1;41,48;Réseaux Sociaux;Relevé compteur;Oui;Non;Oui;9;Non
CNT-70616;20/06/2023;AG007;273;Résolu;;25,66;Téléphone;Réclamation;Non;Non;Oui;;Non
CNT-70617;26/08/2023;AG005;;Résolu;5;;Téléphone;Demande d'information;Oui;Oui;Oui;;Oui
CNT-70618;10/11/2023;AG003;314;Résolu;5;18,74;Chat;Litige paiement;Non;Non;Oui;;Non
CNT-70619;14/01/2023;AG004;420;Résolu;4;19,75;Réseaux Sociaux;Résiliation;Oui;Non;Oui;;Non
CNT-70620;09/10/2023;AG007;;En Attente;;20,94;Chat;Facturation;yes;Non;Oui;4;Non
CNT-70621;06/10/2023;AG007;230;En Attente;;42,11;Téléphone;Panne compteur;yes;Non;Oui;;Non
CNT-70622;03/06/2023;AG002;474;Résolu;2;;Chat;Relevé compteur;Oui;Non;Oui;;Non
CNT-70623;24/05/2023;AG009;234;Résolu;2;16,76;Réseaux Sociaux;Facturation;Oui;Non;Oui;;Non
CNT-70624;04/02/2023;AG005;63;En Attente;3;30,58;Chat;Changement d'offre;Oui;Non;Oui;;Non
CNT-70625;02/04/2023;AG005;296;Non Résolu;5;41,01;Email;Réclamation;Oui;Non;Non;;Non
CNT-70626;28/07/2023;AG006;193;Résolu;4;;Chat;Souscription contrat;Oui;Non;Oui;2;Non
CNT-70627;15/06/2023;AG006;383;Non Résolu;;37,47;Téléphone;Relevé compteur;Oui;Non;Oui;7;Non
CNT-70628;24/04/2023;AG002;276;Résolu;5;15,08;Email;Souscription contrat;Non;Oui;Oui;6;Non
CNT-70629;26/05/2023;AG003;316;Résolu;4;36,87;Téléphone;Changement d'offre;Oui;Non;Oui;10;Non
CNT-70630;28/10/2023;AG003;20;En Attente;3;11,34;Réseaux Sociaux;Panne compteur;Oui;Oui;Oui;6;Oui
CNT-70631;09/04/2023;AG007;294;En Attente;3;24,61;Chat;Demande d'information;Oui;Non;Oui;;Non
CNT-70632;17/03/2023;AG007;336;Résolu;4;25,19;Téléphone;Souscription contrat;Oui;Non;Oui;9;Non
CNT-70633;03/03/2023;AG002;255;Non Résolu;4;26,56;Réseaux Sociaux;Souscription contrat;Non;Non;Oui;8;Oui
CNT-70634;02/07/2023;AG001;147;Résolu;5;15,91;Chat;Souscription contrat;Oui;Non;Oui;2;Non
CNT-70635;21/04/2023;AG006;499;Résolu;4;9,76;Email;Panne compteur;Oui;Non;Oui;;Oui
CNT-70636;06/09/2023;AG002;332;Non Résolu;2;13,36;Chat;Panne compteur;Oui;Non;Non;;Non
CNT-70637;16/04/2023;AG009;278;Résolu;;17,65;Téléphone;Facturation;Non;Non;Oui;;Non
CNT-70638;08/11/2023;AG006;376;En Attente;4;20,04;Téléphone;Déménagement;Oui;Non;Oui;8;Non
CNT-70639;27/02/2023;AG009;210;Résolu;4;45,16;Chat;Changement d'offre;Oui;Oui;Oui;;Non
CNT-70640;12/04/2023;AG003;454;Résolu;5;24,08;Réseaux Sociaux;Déménagement;Oui;Non;Oui;;Non
CNT-70641;20/08/2023;AG008;334;En Attente;4;41,06;Réseaux Sociaux;Relevé compteur;Oui;Non;Non Renseigné;;Oui
CNT-70642;10/05/2023;AG008;365;Résolu;4;39,95;Chat;Souscription contrat;;Non;Oui;;Non
CNT-70643;03/06/2023;AG009;228;Non Résolu;3;30,2;Chat;Litige paiement;Oui;Non;Oui;2;Non
CNT-70644;26/06/2023;AG006;155;Résolu;2;43,47;Email;Résiliation;Oui;Non;Oui;;Non
CNT-70645;19/09/2023;AG007;280;En Attente;;41,27;Chat;Déménagement;Oui;Non;Non Renseigné;;Non
CNT-70646;24/02/2023;AG002;214;Résolu;5;48,54;Téléphone;Facturation;Non;Non;Oui;6;Non
CNT-70647;04/11/2023;AG005;468;Résolu;5;45,04;Téléphone;Changement d'offre;Oui;Oui;Oui;7;Non
CNT-70648;02/06/2023;AG006;130;Résolu;5;34,34;Téléphone;Changement d'offre;Oui;Non;Oui;8;Non
CNT-70649;30/11/2023;AG002;405;Résolu;5;32,59;Réseaux Sociaux;Panne compteur;Oui;Non;Oui;4;Non
CNT-70650;05/08/2023;AG007;101;En Attente;;25,69;Téléphone;Panne compteur;Oui;Oui;Oui;2;Non
CNT-70651;15/07/2023;AG009;173;En Attente;4;32,53;Téléphone;Relevé compteur;Oui;Non;Oui;5;Non
CNT-70652;25/11/2023;AG003;99;Non Résolu;4;40,2;Téléphone;Relevé compteur;Non;Non;Oui;4;Non
CNT-70653;22/02/2023;AG008;211;En Attente;4;30,79;Téléphone;Facturation;Oui;Oui;Oui;10;Non
CNT-70654;18/06/2023;AG007;241;En Attente;5;45,28;Chat;Relevé compteur;Oui;Non;Oui;;Non
CNT-70655;14/08/2023;AG007;199;En Attente;4;39,96;Réseaux Sociaux;Réclamation;;Oui;Oui;;Non
CNT-70656;05/09/2023;AG002;304;En Attente;3;12,14;Chat;Résiliation;Non;Oui;Oui;;Oui
CNT-70657;06/04/2023;AG007;242;En Attente;;48,41;Téléphone;Déménagement;Non;Non;Oui;7;Non
CNT-70658;04/11/2023;AG006;64;Résolu;;31,1;Email;Demande d'information;Oui;Non;Oui;4;Non
CNT-70659;09/01/2023;AG001;168;Non Résolu;4;41,67;Téléphone;Déménagement;Oui;Oui;Oui;;Non
CNT-70660;10/05/2023;AG008;227;Non Résolu;2;26,62;Chat;Déménagement;Oui;Non;Oui;;Oui
CNT-70661;06/09/2023;AG008;371;Non Résolu;4;15,08;Email;Relevé compteur;Oui;Non;Non;6;Non
CNT-70662;18/01/2023;AG003;273;Résolu;3;11,64;Téléphone;Relevé compteur;Oui;Non;Oui;7;Oui
CNT-70663;06/12/2023;AG006;215;Résolu;5;39,09;Téléphone;Déménagement;Oui;Non;Oui;8;Non
CNT-70664;17/08/2023;AG005;120;Non Résolu;4;31,12;Téléphone;Demande d'information;Oui;Non;Oui;;Non
CNT-70665;04/07/2023;AG008;278;En Attente;3;16,5;Réseaux Sociaux;Résiliation;Oui;Non;Oui;;Non
CNT-70666;28/11/2023;AG001;;En Attente;4;27,94;Téléphone;Réclamation;Oui;Non;Oui;4;Non
CNT-70667;05/08/2023;AG007;231;Non Résolu;5;15,1;Réseaux Sociaux;Déménagement;Non;Oui;Oui;;Non
CNT-70668;15/06/2023;AG003;176;Non Résolu;3;39,28;Réseaux Sociaux;Panne compteur;Oui;Oui;Oui;;Non
CNT-70669;02/11/2023;AG009;319;Résolu;4;28,65;Téléphone;Souscription contrat;Non;Non;Oui;9;Non
CNT-70670;14/02/2023;AG003;376;Non Résolu;4;38,05;Téléphone;Souscription contrat;Oui;Non;Oui;;Non
CNT-70671;14/12/2023;AG009;244;Non Résolu;4;10,35;Email;Déménagement;Oui;Non;Oui;;Non
CNT-70672;13/03/2023;AG002;331;Résolu;3;9,75;Email;Souscription contrat;Oui;Non;Oui;;Non
CNT-70673;27/10/2023;AG007;220;En Attente;5;31,36;Téléphone;Résiliation;Oui;Non;Oui;;Non
CNT-70674;22/06/2023;AG008;336;Résolu;3;40,18;Téléphone;Changement d'offre;Oui;Oui;Non Renseigné;;Non
CNT-70675;11/02/2023;AG009;403;Résolu;1;38,75;Email;Déménagement;Oui;Non;Non;7;Non
CNT-70676;19/04/2023;AG009;352;Résolu;4;35,47;Chat;Relevé compteur;Oui;Non;Non;5;Non
CNT-70677;01/04/2023;AG001;315;Résolu;4;25,5;Téléphone;Facturation;Non;Non;Non;;Non
CNT-70678;24/08/2023;AG004;440;En Attente;4;44,93;Email;Litige paiement;Oui;Non;Oui;10;Non
CNT-70679;09/07/2023;AG009;236;Résolu;2;20,16;Chat;Déménagement;Oui;Non;Oui;;Non
CNT-70680;01/12/2023;AG005;315;Résolu;;32,72;Chat;Réclamation;Non;Non;Non;;Non
CNT-70681;03/03/2023;AG006;239;Résolu;5;16,34;Chat;Changement d'offre;Oui;Non;Oui;7;Non
CNT-70682;01/07/2023;AG001;315;En Attente;5;17,53;Email;Litige paiement;Oui;Non;Non;;Non
CNT-70683;30/04/2023;AG009;332;Résolu;1;44,92;Chat;Déménagement;Oui;Non;Oui;7;Non
CNT-70684;01/03/2023;AG005;359;Non Résolu;3;22,52;Chat;Déménagement;Oui;Non;Oui;;Non
CNT-70685;13/03/2023;AG005;266;Résolu;4;11,54;Téléphone;Déménagement;Oui;Non;Oui;;Non
CNT-70686;15/06/2023;AG001;85;Résolu;4;38,32;Chat;Changement d'offre;Non;Non;Oui;2;Non
CNT-70687;18/02/2023;AG002;241;En Attente;2;48,24;Chat;Déménagement;Oui;Non;Oui;;Non
CNT-70688;05/12/2023;AG003;328;En Attente;4;27,57;Réseaux Sociaux;Facturation;;Non;Non Renseigné;;Non
CNT-70689;10/10/2023;AG001;293;Non Résolu;5;40,64;Téléphone;Déménagement;Oui;Non;Oui;10;Non
CNT-70690;02/12/2023;AG006;308;Résolu;4;29,82;Téléphone;Réclamation;Oui;Non;Oui;5;Non
CNT-70691;26/10/2023;AG004;339;Résolu;4;34,66;Chat;Réclamation;Oui;Non;Oui;;Non
CNT-70692;12/04/2023;AG003;155;En Attente;3;42,19;Email;Changement d'offre;Oui;Non;Oui;;Non
CNT-70693;20/07/2023;AG006;344;Résolu;3;47,96;Téléphone;Demande d'information;Oui;Oui;Oui;8;Non
CNT-70694;22/01/2023;AG004;446;Résolu;5;39,22;Chat;Réclamation;Non;Oui;Non;7;Non
CNT-70695;10/11/2023;AG005;227;Résolu;;36,15;Téléphone;Souscription contrat;Oui;Non;Oui;3;Non
CNT-70696;09/07/2023;AG001;361;Résolu;5;27,41;Chat;Demande d'information;Oui;Non;Oui;6;Non
CNT-70697;07/05/2023;AG003;272;En Attente;4;11,51;Chat;Souscription contrat;Oui;Non;Oui;4;Non
CNT-70698;13/05/2023;AG001;305;En Attente;4;43,82;Téléphone;Souscription contrat;Oui;Non;Non Renseigné;9;Non
CNT-70699;30/09/2023;AG007;350;Résolu;3;14,68;Téléphone;Relevé compteur;Oui;Oui;Non Renseigné;8;Non
CNT-70700;03/10/2023;AG008;293;Résolu;4;42,75;Réseaux Sociaux;Souscription contrat;Non;Non;Non;6;Non
CNT-70701;15/03/2023;AG008;222;Résolu;5;38,06;Téléphone;Réclamation;Non;Non;Oui;;Non
CNT-70702;28/09/2023;AG007;297;Résolu;5;45,45;Téléphone;Demande d'information;Oui;Non;Oui;;Non
CNT-70703;23/05/2023;AG009;176;Résolu;3;26,45;Réseaux Sociaux;Réclamation;Oui;Oui;Non Renseigné;4;Non
CNT-70704;08/01/2023;AG007;121;Résolu;4;12,37;Réseaux Sociaux;Panne compteur;Non;Non;Oui;8;Non
CNT-70705;30/05/2023;AG005;50;Non Résolu;3;45,57;Chat;Changement d'offre;Oui;Non;Oui;2;Non
CNT-70706;24/06/2023;AG009;410;Non Résolu;4;17,31;Téléphone;Relevé compteur;Oui;Non;Non Renseigné;;Non
CNT-70707;01/04/2023;AG002;311;Résolu;5;36,37;Email;Changement d'offre;Non;Oui;Non Renseigné;;Oui
CNT-70708;10/01/2023;AG002;333;Non Résolu;3;43,06;Réseaux Sociaux;Changement d'offre;Oui;Non;Non;;Non
CNT-70709;06/09/2023;AG006;287;Résolu;4;47,48;Téléphone;Résiliation;Oui;Non;Oui;;Non
CNT-70710;24/10/2023;AG008;101;En Attente;;;Réseaux Sociaux;Réclamation;Oui;Non;Non;9;Non
CNT-70711;25/02/2023;AG008;402;Résolu;4;11,32;Email;Résiliation;Oui;Non;Oui;;Non
CNT-70712;03/08/2023;AG008;143;Non Résolu;2;28,18;Réseaux Sociaux;Panne compteur;Oui;Non;Non Renseigné;;Non
CNT-70713;04/01/2023;AG002;380;Non Résolu;4;36,95;Téléphone;Facturation;Oui;Non;Oui;;Non
CNT-70714;06/09/2023;AG009;42;Résolu;5;18,83;Réseaux Sociaux;Relevé compteur;Non;Non;Oui;10;Non
CNT-70715;26/05/2023;AG003;164;Résolu;5;24,27;Réseaux Sociaux;Relevé compteur;Oui;Non;Oui;;Non
CNT-70716;22/04/2023;AG009;156;Non Résolu;4;23,47;Téléphone;Résiliation;yes;Oui;Oui;;Non
CNT-70717;09/08/2023;AG009;280;En Attente;5;31,43;Téléphone;Litige paiement;Oui;Non;Non;1;Non
CNT-70718;20/09/2023;AG009;206;Résolu;3;47,98;Téléphone;Litige paiement;;Non;Oui;;Non
CNT-70719;14/06/2023;AG002;263;En Attente;;20,29;Réseaux Sociaux;Litige paiement;Oui;Non;Oui;;Non
CNT-70720;21/02/2023;AG001;153;Résolu;5;10,71;Téléphone;Réclamation;Oui;Oui;Oui;;Non
CNT-70721;20/07/2023;AG005;283;Non Résolu;5;24,56;Chat;Litige paiement;Oui;Oui;Oui;4;Non
CNT-70722;21/06/2023;AG001;173;Non Résolu;1;21,85;Réseaux Sociaux;Souscription contrat;Oui;Non;Oui;8;Non
