Reference_Dossier;Date;ID Agent;Durée_Traitement_Sec;Dossier_Cloture;Note_Satisfaction_Client;Prix_Prestation;Type_Contact;Objet;Traite;Appel Repris;Conforme;NPS;Réclammation
DOS50248;10/08/2023;AG003;300;Oui;5;27,41;Email;Souscription contrat;Non;Non;Oui;6;Non
DOS50249;04/11/2023;AG003;390;Oui;4;30,94;Courrier;Panne compteur;Oui;Non;Oui;8;Oui
DOS50250;05/02/2023;AG011;582;Oui;2;46,43;Courrier;Litige paiement;Oui;Oui;Non;;Oui
DOS50251;03/06/2023;AG008;354;Non;4;31,44;Téléphone;Demande d'information;Non;Oui;Non;;Non
DOS50252;12/07/2023;AG007;330;Non;3;26,55;Courrier;Relevé compteur;Non;Non;Oui;;Oui
DOS50253;17/02/2023;AG008;474;Oui;5;40,29;Téléphone;Réclamation;Oui;Oui;Oui;;Non
DOS50254;17/12/2023;AG012;366;Non;4;14,43;Chat;Résiliation;Oui;Non;Oui;8;Non
DOS50255;31/07/2023;AG007;522;Oui;4;19,3;Chat;Litige paiement;Oui;Non;Oui;;Non
DOS50256;20/08/2023;AG007;192;Non;3;40,96;Chat;Litige paiement;Oui;Non;Non;4;Non
DOS50257;03/02/2023;AG008;192;Oui;4;12,79;Téléphone;Demande d'information;Oui;Non;Oui;;Oui
DOS50258;14/08/2023;AG007;216;Oui;2;25,33;Email;Panne compteur;Non;Non;Oui;10;Oui
DOS50259;23/04/2023;AG011;420;Non;3;34,7;Email;Résiliation;Non;Non;Non;;Oui
DOS50260;13/08/2023;AG012;354;Non;;15,67;Email;Demande d'information;Oui;Non;Non Renseigné;;Non
DOS50261;20/03/2023;AG007;282;Oui;;31,11;Courrier;Réclamation;Non;Non;Non Renseigné;5;Non
DOS50262;25/05/2023;AG011;354;Non;2;24,57;Téléphone;Facturation;Non;Non;Oui;8;Oui
DOS50263;22/10/2023;AG011;438;Oui;5;30,09;Email;Résiliation;Oui;Non;Non;6;Oui
DOS50264;28/06/2023;AG007;276;Non;4;54,92;Email;Résiliation;Oui;Non;Oui;9;Oui
DOS50265;12/07/2023;AG007;402;Oui;4;12,15;Téléphone;Changement d'offre;Non;Oui;Oui;4;Non
DOS50266;06/09/2023;AG011;264;Oui;2;43,41;Email;Changement d'offre;Non;Non;Oui;;Oui
DOS50267;19/12/2023;AG007;132;Non;5;38,85;Courrier;Demande d'information;Oui;Non;Oui;8;Non
DOS50268;25/11/2023;AG007;312;Oui;;51,83;Courrier;Changement d'offre;Non;Oui;Non Renseigné;0;Oui
DOS50269;20/04/2023;AG007;120;Oui;4;47,05;Téléphone;Relevé compteur;Non;Non;Oui;7;Oui
DOS50270;23/08/2023;AG008;276;Oui;1;13,51;Email;Panne compteur;Non;Non;Non Renseigné;5;Non
DOS50271;02/07/2023;AG007;330;Oui;5;19,24;Chat;Réclamation;Non;Non;Oui;7;Oui
DOS50272;23/09/2023;AG012;216;Oui;5;33,99;Chat;Facturation;Non;Non;Non;;Oui
DOS50273;16/04/2023;AG011;384;Oui;4;16,01;Chat;Changement d'offre;Non;Non;Oui;;Oui
DOS50274;15/12/2023;AG025;282;Non;5;51,05;Téléphone;Changement d'offre;Non;Non;Oui;9;Oui
DOS50275;17/07/2023;AG025;384;Non;5;52,63;Téléphone;Relevé compteur;Oui;Non;Oui;;Oui
DOS50276;09/01/2023;AG012;312;Non;4;13,06;Téléphone;Litige paiement;Oui;Non;Oui;9;Non
DOS50277;17/12/2023;AG011;288;Non;2;51,07;Email;Relevé compteur;Non;Non;Oui;8;Non
DOS50278;24/09/2023;AG019;216;Non;5;16,74;Courrier;Changement d'offre;Non;Non;Oui;10;Non
DOS50279;24/12/2023;AG008;318;Non;4;28,49;Courrier;Souscription contrat;Oui;Non;Oui;;Oui
DOS50280;10/02/2023;AG025;330;Non;3;49,31;Email;Changement d'offre;Non;Non;Oui;10;Oui
DOS50281;18/01/2023;AG003;354;Non;5;27,76;Courrier;Souscription contrat;Oui;Non;Oui;;Non
DOS50282;11/12/2023;AG019;342;Oui;2;39,4;Téléphone;Résiliation;Oui;Oui;Oui;;Oui
DOS50283;12/05/2023;AG011;156;Non;5;43,79;Email;Déménagement;Non;Non;Oui;;Oui
DOS50284;08/09/2023;AG011;432;Non;3;35,22;Téléphone;Résiliation;Oui;Non;Non;;Oui
DOS50285;30/07/2023;AG011;360;Oui;5;29,81;Courrier;Panne compteur;Non;Non;Oui;8;Oui
DOS50286;01/01/2023;AG007;318;Oui;5;49,28;Téléphone;Panne compteur;Oui;Non;Oui;3;Non
DOS50287;18/03/2023;AG007;354;Oui;5;52,99;Email;Réclamation;Oui;Oui;Non Renseigné;;Non
DOS50288;08/01/2023;AG011;378;Oui;4;12,15;Courrier;Demande d'information;Non;Non;Non;7;Oui
DOS50289;24/07/2023;AG008;546;Oui;4;13,72;Chat;Réclamation;Oui;Non;Oui;8;Non
DOS50290;22/11/2023;AG007;246;Non;3;22,95;Chat;Facturation;Non;Non;Oui;;Oui
DOS50291;16/02/2023;AG007;252;Non;5;25,11;Email;Changement d'offre;Non;Non;Oui;;Non
DOS50292;13/04/2023;AG007;186;Non;4;16,25;Chat;Réclamation;Oui;Non;Non Renseigné;10;Non
DOS50293;30/07/2023;AG025;90;Non;5;13,82;Chat;Réclamation;Oui;Oui;Non;;Non
DOS50294;26/04/2023;AG003;366;Oui;5;31,1;Chat;Changement d'offre;Non;Non;Oui;5;Oui
DOS50295;10/08/2023;AG019;552;Non;5;39,28;Chat;Changement d'offre;Non;Non;Non;9;Oui
DOS50296;10/02/2023;AG003;282;Non;5;39,57;Chat;Déménagement;Non;Non;Oui;8;Oui
DOS50297;19/03/2023;AG025;462;Non;3;53;Email;Relevé compteur;Non;Non;Oui;;Oui
DOS50298;13/10/2023;AG025;282;Oui;5;39,72;Courrier;Réclamation;Non;Non;Non;;Non
DOS50299;25/06/2023;AG019;456;Oui;4;19,61;Email;Panne compteur;Non;Non;Oui;8;Non
DOS50300;06/06/2023;AG003;354;Oui;;34,29;Email;Facturation;Non;Non;Oui;8;Non
DOS50301;03/06/2023;AG019;318;Non;4;51,89;Chat;Déménagement;Oui;Non;Oui;9;Non
DOS50302;04/10/2023;AG025;246;Oui;5;37,23;Chat;Panne compteur;Non;Non;Non;;Oui
DOS50303;15/10/2023;AG025;324;Oui;4;23,81;Email;Demande d'information;Oui;Non;Non;9;Non
DOS50304;13/05/2023;AG003;414;Oui;5;24,39;Chat;Changement d'offre;Non;Non;Oui;6;Oui
DOS50305;27/03/2023;AG007;234;Oui;5;20,36;Email;Facturation;Oui;Non;Non;;Non
DOS50306;17/01/2023;AG012;306;Non;3;37,86;Courrier;Facturation;Oui;Non;Oui;5;Oui
DOS50307;05/06/2023;AG003;336;Non;5;38,23;Courrier;Relevé compteur;Non;Non;Oui;0;Oui
DOS50308;15/10/2023;AG007;414;Oui;1;41;Email;Litige paiement;Non;Non;Oui;8;Non
DOS50309;24/06/2023;AG003;324;Non;3;;Téléphone;Changement d'offre;Non;Non;Oui;0;Oui
DOS50310;03/12/2023;AG008;282;Oui;4;35,4;Courrier;Changement d'offre;Non;Non;Oui;8;Non
DOS50311;24/09/2023;AG019;348;Non;;52,87;Téléphone;Souscription contrat;Oui;Non;Oui;6;Non
DOS50312;25/03/2023;AG019;450;Oui;5;40,1;Chat;Litige paiement;Non;Oui;Non Renseigné;8;Non
DOS50313;08/04/2023;AG008;366;Non;5;48,09;Courrier;Souscription contrat;Non;Non;Oui;8;Non
DOS50314;28/08/2023;AG012;306;Oui;3;19,3;Chat;Litige paiement;Oui;Non;Oui;10;Oui
DOS50315;08/10/2023;AG011;318;Non;1;32,81;Courrier;Changement d'offre;Oui;Non;Oui;;Oui
DOS50316;11/09/2023;AG003;192;Oui;5;12,18;Email;Changement d'offre;Non;Non;Oui;;Non
DOS50317;07/04/2023;AG012;402;Oui;5;26,75;Chat;Facturation;Non;Non;Oui;;Non
DOS50318;10/09/2023;AG012;162;Oui;4;27,31;Chat;Réclamation;Oui;Non;Non Renseigné;8;Non
DOS50319;01/04/2023;AG011;264;Non;4;19,3;Téléphone;Facturation;Non;Non;Oui;8;Non
DOS50320;02/10/2023;AG008;294;Non;;31,85;Email;Réclamation;Oui;Non;Non;;Oui
DOS50321;17/07/2023;AG025;264;Oui;4;20,81;Courrier;Panne compteur;Non;Oui;Non;;Non
DOS50322;24/01/2023;AG008;198;Non;;45,29;Courrier;Changement d'offre;Oui;Oui;Oui;8;Non
DOS50323;09/03/2023;AG019;234;Oui;5;42,64;Téléphone;Panne compteur;Non;Non;Non Renseigné;8;Oui
DOS50324;20/04/2023;AG019;156;Oui;4;51,09;Courrier;Facturation;Oui;Non;Non Renseigné;;Non
DOS50325;04/11/2023;AG008;498;Non;;53,69;Chat;Litige paiement;Non;Non;Non;;Non
DOS50326;07/12/2023;AG007;252;Non;5;34,6;Chat;Réclamation;Oui;Non;Oui;6;Oui
DOS50327;10/06/2023;AG025;240;Oui;2;15,92;Courrier;Facturation;Non;Non;Non Renseigné;;Oui
DOS50328;08/01/2023;AG008;552;Non;4;34,45;Téléphone;Déménagement;Oui;Non;Oui;;Oui
DOS50329;04/02/2023;AG008;126;Non;5;26,23;Email;Litige paiement;Oui;Non;Oui;8;Non
DOS50330;24/05/2023;AG012;378;Oui;5;20,86;Chat;Facturation;Non;Non;Non;2;Non
DOS50331;10/11/2023;AG007;318;Oui;;40,16;Courrier;Relevé compteur;Oui;Non;Oui;;Non
DOS50332;22/12/2023;AG019;198;Oui;;12,96;Téléphone;Changement d'offre;Oui;Non;Non Renseigné;;Non
DOS50333;20/05/2023;AG003;324;Oui;2;19,38;Téléphone;Souscription contrat;Oui;Non;Oui;;Non
DOS50334;03/01/2023;AG025;522;Non;1;20,71;Email;Facturation;Non;Non;Oui;9;Non
DOS50335;20/04/2023;AG019;378;Oui;3;40,74;Chat;Panne compteur;Oui;Non;Oui;2;Non
DOS50336;14/01/2023;AG012;360;Non;5;29,71;Chat;Facturation;Oui;Non;Oui;;Non
DOS50337;05/01/2023;AG007;168;Non;;40,11;Chat;Litige paiement;Non;Non;Non;8;Oui
DOS50338;17/01/2023;AG012;216;Non;5;15,94;Chat;Déménagement;Non;Non;Oui;7;Oui
DOS50339;05/10/2023;AG003;138;Non;5;;Email;Réclamation;Oui;Non;Oui;;Oui
DOS50340;08/06/2023;AG003;324;Oui;1;38,26;Téléphone;Relevé compteur;Oui;Non;Oui;9;Oui
DOS50341;10/05/2023;AG019;318;Non;;42,78;Courrier;Relevé compteur;Non;Non;Oui;;Non
DOS50342;05/09/2023;AG012;216;Oui;4;13,94;Chat;Déménagement;Non;Non;Oui;;Non
DOS50343;05/12/2023;AG019;414;Non;3;12,08;Chat;Facturation;Oui;Non;Non Renseigné;7;Oui
DOS50344;31/10/2023;AG012;162;Non;3;14,68;Chat;Changement d'offre;Oui;Non;Oui;;Oui
DOS50345;03/10/2023;AG011;228;Oui;5;19,72;Chat;Déménagement;Oui;Non;Oui;;Non
DOS50346;09/04/2023;AG007;324;Non;;37,5;Chat;Réclamation;Non;Non;Oui;9;Non
DOS50347;22/08/2023;AG012;174;Non;5;35,37;Courrier;Panne compteur;Non;Oui;Non Renseigné;6;Oui
DOS50348;11/06/2023;AG007;276;Non;4;14,2;Téléphone;Résiliation;Oui;Non;Non;8;Non
DOS50349;21/04/2023;AG019;234;Non;;29,01;Chat;Changement d'offre;Oui;Non;Oui;6;Non
DOS50350;03/09/2023;AG007;342;Non;3;41,79;Téléphone;Relevé compteur;Oui;Non;Non;6;Oui
DOS50351;19/11/2023;AG003;156;Oui;;34,88;Courrier;Souscription contrat;Non;Non;Oui;;Oui
DOS50352;27/07/2023;AG007;72;Oui;5;48,19;Téléphone;Panne compteur;Oui;Non;Oui;7;Oui
DOS50353;04/10/2023;AG011;174;Oui;5;21,43;Chat;Panne compteur;Non;Non;Non;;Oui
DOS50354;30/05/2023;AG025;420;Oui;2;30,03;Chat;Panne compteur;Non;Oui;Oui;;Non
DOS50355;09/09/2023;AG012;408;Oui;4;24,78;Téléphone;Relevé compteur;Oui;Non;Non;;Oui
DOS50356;10/04/2023;AG012;204;Non;;13,97;Chat;Réclamation;Non;Non;Non;7;Oui
DOS50357;14/07/2023;AG012;306;Non;4;16,8;Téléphone;Panne compteur;Oui;Non;Oui;;Oui
DOS50358;25/10/2023;AG012;312;Oui;;48,51;Email;Litige paiement;Oui;Non;Oui;10;Non
DOS50359;17/07/2023;AG007;150;Oui;5;22,13;Courrier;Demande d'information;Non;Non;Oui;9;Oui
DOS50360;17/05/2023;AG011;234;Oui;5;36,46;Email;Panne compteur;Oui;Non;Oui;;Oui
DOS50361;17/12/2023;AG003;288;Non;5;36,02;Chat;Demande d'information;Non;Non;Oui;;Non
DOS50362;12/05/2023;AG007;54;Oui;5;19,99;Email;Changement d'offre;Non;Oui;Oui;8;Non
DOS50363;15/07/2023;AG003;324;Non;5;12,21;Courrier;Litige paiement;Non;Non;Oui;9;Non
DOS50364;25/09/2023;AG008;660;Oui;5;47,47;Courrier;Panne compteur;Non;Non;Non Renseigné;0;Oui
DOS50365;01/07/2023;AG008;372;Oui;5;33,7;Courrier;Facturation;Oui;Oui;Oui;;Non
DOS50366;18/05/2023;AG008;336;Oui;1;48,13;Courrier;Réclamation;Oui;Non;Non Renseigné;;Oui
DOS50367;21/12/2023;AG008;396;Non;5;18,38;Chat;Réclamation;Non;Non;Non;8;Non
DOS50368;06/12/2023;AG008;366;Oui;2;19,32;Chat;Réclamation;Oui;Non;Oui;;Oui
DOS50369;23/12/2023;AG011;414;Non;5;20,16;Téléphone;Réclamation;Non;Non;Oui;;Oui
DOS50370;10/03/2023;AG019;78;Oui;5;40,6;Chat;Réclamation;Oui;Non;Non Renseigné;;Non
DOS50371;22/03/2023;AG008;264;Oui;4;48,1;Téléphone;Relevé compteur;Non;Non;Oui;7;Non
DOS50372;25/04/2023;AG012;192;Non;5;54,22;Chat;Résiliation;Oui;Non;Non;;Oui
DOS50373;27/01/2023;AG025;84;Non;4;45,71;Chat;Résiliation;Non;Non;Non;9;Non
DOS50374;17/07/2023;AG012;294;Non;5;22,07;Courrier;Réclamation;Oui;Non;Oui;;Non
DOS50375;10/01/2023;AG007;420;Non;5;29,71;Chat;Changement d'offre;Non;Non;Non Renseigné;9;Non
DOS50376;12/04/2023;AG019;240;Oui;5;23,63;Email;Réclamation;Oui;Non;Oui;7;Non
DOS50377;08/06/2023;AG008;354;Non;;14,01;Chat;Demande d'information;Oui;Non;Oui;;Non
DOS50378;15/06/2023;AG019;462;Oui;5;13,06;Chat;Relevé compteur;Non;Non;Oui;9;Non
DOS50379;30/12/2023;AG008;282;Non;5;41,04;Téléphone;Changement d'offre;Non;Non;Oui;9;Non
DOS50380;28/08/2023;AG011;438;Non;5;40,99;Téléphone;Facturation;Oui;Non;Non;;Oui
DOS50381;27/08/2023;AG007;426;Oui;;26,45;Courrier;Demande d'information;Non;Non;Oui;;Oui
DOS50382;07/05/2023;AG019;348;Oui;3;32,8;Téléphone;Déménagement;Oui;Non;Oui;;Non
DOS50383;23/08/2023;AG011;168;Oui;5;43,34;Chat;Réclamation;Oui;Non;Non Renseigné;;Non
DOS50384;20/01/2023;AG007;78;Non;4;24,62;Email;Panne compteur;Oui;Non;Non;9;Non
DOS50385;12/02/2023;AG008;228;Non;4;21,09;Courrier;Changement d'offre;Oui;Non;Non;3;Oui
DOS50386;29/10/2023;AG007;258;Oui;5;26,91;Courrier;Souscription contrat;Non;Non;Oui;;Oui
DOS50387;23/11/2023;AG007;282;Oui;4;13,57;Chat;Déménagement;Oui;Non;Non;;Non
DOS50388;17/02/2023;AG003;384;Non;;26;Téléphone;Panne compteur;Oui;Non;Oui;8;Oui
DOS50389;10/09/2023;AG025;222;Oui;3;40,73;Téléphone;Facturation;Non;Non;Non;;Oui
DOS50390;07/06/2023;AG008;384;Non;;53,22;Courrier;Panne compteur;Non;Non;Oui;;Oui
DOS50391;17/09/2023;AG003;510;Non;4;12,92;Chat;Changement d'offre;Oui;Non;Oui;8;Non
DOS50392;29/11/2023;AG012;288;Oui;;26,05;Téléphone;Souscription contrat;Oui;Non;Oui;7;Oui
DOS50393;05/10/2023;AG025;336;Non;4;19,42;Email;Litige paiement;Non;Non;Oui;;Non
DOS50394;07/05/2023;AG025;498;Non;5;25,63;Chat;Litige paiement;Non;Non;Oui;;Oui
DOS50395;25/03/2023;AG003;402;Non;3;35,2;Email;Litige paiement;Oui;Non;Non Renseigné;7;Oui
DOS50396;27/07/2023;AG011;228;Non;5;48,72;Courrier;Panne compteur;Non;Non;Non Renseigné;;Non
DOS50397;13/02/2023;AG011;522;Oui;5;45,18;Téléphone;Résiliation;Oui;Non;Non;;Oui
DOS50398;12/09/2023;AG025;330;Oui;5;22,12;Courrier;Déménagement;Non;Non;Oui;10;Oui
DOS50399;29/05/2023;AG007;240;Oui;5;35,97;Chat;Réclamation;Oui;Non;Oui;5;Oui
DOS50400;20/04/2023;AG011;120;Non;5;22,08;Chat;Litige paiement;Non;Non;Non;7;Non
DOS50401;06/03/2023;AG019;222;Non;4;34,9;Courrier;Souscription contrat;Oui;Non;Oui;;Oui
DOS50402;28/08/2023;AG012;;Non;3;12,06;Chat;Panne compteur;Oui;Non;Oui;10;Oui
DOS50403;30/05/2023;AG003;192;Oui;5;25,93;Email;Facturation;Non;Non;Oui;;Non
DOS50404;24/02/2023;AG003;210;Oui;4;15,99;Chat;Litige paiement;Non;Non;Oui;;Non
DOS50405;29/05/2023;AG012;468;Non;3;34,22;Email;Réclamation;Non;Non;Oui;;Non
DOS50406;20/09/2023;AG008;336;Non;5;47,92;Email;Réclamation;Non;Non;Non Renseigné;;Oui
DOS50407;25/01/2023;AG007;138;Non;3;38,48;Chat;Déménagement;Non;Non;Non;8;Non
DOS50408;22/11/2023;AG003;390;Non;;51,87;Courrier;Souscription contrat;Oui;Non;Oui;7;Oui
DOS50409;15/02/2023;AG007;570;Non;4;52,07;Email;Changement d'offre;Non;Non;Oui;;Oui
DOS50410;13/04/2023;AG025;78;Non;5;31,76;Courrier;Demande d'information;Non;Non;Oui;9;Non
DOS50411;13/05/2023;AG025;330;Oui;4;20,02;Chat;Panne compteur;Oui;Non;Non;;Oui
DOS50412;13/11/2023;AG003;312;Non;5;16,44;Courrier;Déménagement;Oui;Non;Oui;5;Non
DOS50413;26/06/2023;AG003;588;Oui;3;20,5;Courrier;Litige paiement;Oui;Non;Non Renseigné;;Oui
DOS50414;15/03/2023;AG008;432;Oui;4;36,35;Courrier;Déménagement;Oui;Non;Oui;4;Oui
DOS50415;25/02/2023;AG011;306;Oui;;41,31;Téléphone;Déménagement;Non;Non;Non;10;Oui
DOS50416;01/08/2023;AG019;414;Oui;4;31,24;Courrier;Changement d'offre;Oui;Oui;Non;;Oui
DOS50417;30/08/2023;AG025;90;Non;;40,34;Chat;Réclamation;Non;Non;Oui;;Non
DOS50418;17/05/2023;AG012;312;Non;5;24,73;Téléphone;Panne compteur;Oui;Oui;Oui;;Oui
DOS50419;05/04/2023;AG011;234;Oui;1;26,03;Email;Relevé compteur;Non;Non;Non Renseigné;0;Oui
DOS50420;07/01/2023;AG025;324;Non;3;49,11;Email;Panne compteur;Oui;Non;Oui;8;Oui
DOS50421;14/01/2023;AG008;78;Oui;5;29,92;Email;Litige paiement;Oui;Non;Oui;10;Non
DOS50422;13/06/2023;AG011;390;Non;5;25,33;Chat;Résiliation;Oui;Non;Oui;;Non
DOS50423;01/01/2023;AG012;366;Oui;4;28,89;Email;Demande d'information;Oui;Non;Non;5;Non
DOS50424;29/01/2023;AG003;438;Non;5;13,91;Email;Résiliation;Non;Non;Non;;Non
DOS50425;13/06/2023;AG012;258;Oui;4;25,26;Téléphone;Demande d'information;Oui;Non;Non Renseigné;5;Oui
DOS50426;23/12/2023;AG003;390;Oui;3;30,76;Chat;Changement d'offre;Non;Non;Oui;;Non
DOS50427;03/06/2023;AG003;534;Oui;5;35,22;Email;Réclamation;Non;Non;Non Renseigné;6;Oui
DOS50428;18/12/2023;AG007;276;Oui;5;33,57;Email;Déménagement;Oui;Non;Oui;;Oui
DOS50429;27/11/2023;AG003;150;Oui;3;50,75;Téléphone;Souscription contrat;Oui;Non;Non Renseigné;;Oui
DOS50430;15/09/2023;AG008;384;Oui;5;39,7;Email;Souscription contrat;Oui;Non;Oui;10;Non
DOS50431;21/08/2023;AG019;264;Oui;5;12,87;Téléphone;Réclamation;Oui;Non;Oui;;Oui
DOS50432;03/05/2023;AG008;186;Oui;2;28,4;Email;Changement d'offre;Oui;Non;Oui;;Non
DOS50433;26/03/2023;AG025;210;Non;3;27,32;Email;Résiliation;Oui;Oui;Oui;;Non
DOS50434;17/01/2023;AG012;138;Oui;4;38,71;Email;Déménagement;Non;Non;Oui;4;Oui
DOS50435;15/12/2023;AG011;186;Oui;4;19,06;Email;Changement d'offre;Non;Non;Oui;6;Oui
DOS50436;08/02/2023;AG003;354;Oui;;32,49;Téléphone;Souscription contrat;Oui;Non;Non Renseigné;;Non
DOS50437;01/05/2023;AG007;360;Non;;48,67;Courrier;Litige paiement;Oui;Non;Oui;8;Non
DOS50438;19/05/2023;AG012;216;Non;4;36,39;Chat;Litige paiement;Oui;Non;Non;10;Oui
DOS50439;23/04/2023;AG012;576;Non;;50,67;Courrier;Déménagement;Oui;Non;Non;7;Oui
DOS50440;31/08/2023;AG011;324;Oui;4;44,85;Chat;Litige paiement;Oui;Non;Oui;8;Oui
DOS50441;01/11/2023;AG008;348;Oui;;15,6;Courrier;Relevé compteur;Non;Non;Oui;6;Oui
DOS50442;01/10/2023;AG025;372;Oui;5;30,55;Chat;Déménagement;Non;Non;Oui;;Non
DOS50443;01/08/2023;AG011;222;Non;4;31,18;Email;Litige paiement;Oui;Non;Non;8;Oui
DOS50444;05/09/2023;AG025;420;Non;3;19,96;Courrier;Panne compteur;Non;Non;Oui;9;Oui
DOS50445;30/11/2023;AG007;120;Non;4;38,96;Téléphone;Déménagement;Oui;Non;Oui;7;Non
DOS50446;06/03/2023;AG011;174;Oui;5;50,23;Chat;Réclamation;Non;Non;Non;;Oui
DOS50447;17/10/2023;AG003;228;Oui;;14,36;Téléphone;Litige paiement;Oui;Non;Non;;Oui
DOS50448;02/06/2023;AG025;336;Oui;;32,69;Chat;Déménagement;Non;Non;Oui;;Non
DOS50449;12/01/2023;AG003;156;Non;4;13,97;Email;Souscription contrat;Oui;Non;Oui;;Oui
DOS50450;17/11/2023;AG008;168;Oui;4;32,23;Email;Déménagement;Oui;Non;Non;;Oui
DOS50451;20/09/2023;AG019;486;Oui;;23,46;Chat;Changement d'offre;Non;Oui;Oui;;Oui
DOS50452;27/08/2023;AG012;462;Oui;5;49,96;Chat;Souscription contrat;Non;Non;Oui;9;Non
DOS50453;29/12/2023;AG025;;Non;4;19,92;Chat;Demande d'information;Non;Non;Oui;3;Non
DOS50454;19/10/2023;AG025;216;Oui;4;53,27;Chat;Souscription contrat;Oui;Non;Oui;10;Non
DOS50455;21/12/2023;AG011;300;Oui;3;49,8;Chat;Réclamation;Oui;Non;Non;4;Oui
DOS50456;13/09/2023;AG012;378;Non;5;41,67;Email;Facturation;Oui;Non;Oui;8;Non
DOS50457;11/08/2023;AG025;258;Non;4;49,4;Courrier;Réclamation;Oui;Non;Oui;;Non
DOS50458;11/09/2023;AG007;240;Non;2;45,3;Chat;Déménagement;Non;Non;Oui;;Non
DOS50459;17/02/2023;AG003;450;Non;3;23,29;Email;Litige paiement;Oui;Non;Oui;8;Non
DOS50460;11/10/2023;AG019;228;Non;4;52,21;Email;Litige paiement;Non;Non;Non Renseigné;;Non
DOS50461;10/11/2023;AG019;276;Non;5;24,51;Téléphone;Litige paiement;Oui;Non;Non Renseigné;;Non
DOS50462;29/10/2023;AG011;24;Oui;4;53,28;Email;Changement d'offre;Oui;Non;Oui;10;Non
DOS50463;08/04/2023;AG019;366;Non;3;26,41;Chat;Déménagement;Oui;Non;Oui;;Oui
DOS50464;27/07/2023;AG012;372;Non;5;30,73;Courrier;Résiliation;Non;Non;Oui;;Oui
DOS50465;30/05/2023;AG012;360;Oui;5;28,26;Téléphone;Souscription contrat;Oui;Non;Non;;Oui
DOS50466;05/05/2023;AG019;354;Non;;44,46;Email;Relevé compteur;Non;Non;Oui;;Oui
DOS50467;15/02/2023;AG003;336;Oui;5;21,77;Chat;Changement d'offre;Oui;Non;Oui;5;Oui
DOS50468;26/02/2023;AG025;282;Non;3;36,78;Téléphone;Facturation;Oui;Oui;Oui;9;Oui
DOS50469;10/03/2023;AG011;420;Oui;5;47,75;Chat;Changement d'offre;Non;Oui;Oui;1;Non
DOS50470;26/07/2023;AG008;378;Non;;37,64;Chat;Panne compteur;Non;Oui;Oui;7;Non
DOS50471;06/06/2023;AG019;240;Non;5;50,41;Courrier;Relevé compteur;Oui;Non;Oui;9;Non
DOS50472;26/10/2023;AG007;276;Oui;1;47,81;Email;Déménagement;Non;Non;Oui;8;Non
DOS50473;22/04/2023;AG011;168;Oui;2;12,83;Courrier;Demande d'information;Oui;Non;Oui;;Oui
DOS50474;16/05/2023;AG007;252;Non;5;44,37;Téléphone;Facturation;Non;Oui;Oui;9;Non
DOS50475;14/12/2023;AG025;180;Oui;;40,28;Email;Demande d'information;Non;Non;Non Renseigné;;Non
DOS50476;24/05/2023;AG003;420;Oui;4;48,27;Email;Résiliation;Non;Non;Oui;3;Oui
DOS50477;18/06/2023;AG011;612;Oui;4;;Chat;Litige paiement;Oui;Non;Oui;;Non
DOS50478;22/08/2023;AG003;168;Non;5;37,63;Téléphone;Résiliation;Oui;Non;Oui;;Non
DOS50479;07/08/2023;AG012;288;Non;4;22,77;Email;Litige paiement;Non;Non;Oui;;Non
DOS50480;14/10/2023;AG025;270;Non;5;13,15;Chat;Relevé compteur;Non;Non;Oui;9;Non
DOS50481;13/01/2023;AG011;66;Oui;4;15,95;Courrier;Litige paiement;Oui;Non;Oui;;Oui
DOS50482;11/08/2023;AG007;228;Non;5;49,19;Email;Déménagement;Oui;Oui;Oui;7;Oui
DOS50483;30/09/2023;AG012;528;Oui;2;41,87;Email;Litige paiement;Non;Non;Oui;2;Non
DOS50484;27/07/2023;AG011;330;Oui;5;54,63;Courrier;Souscription contrat;Oui;Non;Oui;4;Oui
DOS50485;08/01/2023;AG003;288;Non;4;34,84;Email;Souscription contrat;Non;Non;Non;0;Oui
DOS50486;18/03/2023;AG007;180;Non;5;30,82;Courrier;Facturation;Non;Non;Non Renseigné;;Non
DOS50487;27/03/2023;AG011;402;Oui;5;48,81;Chat;Changement d'offre;Non;Non;Oui;;Non
DOS50488;17/10/2023;AG007;252;Non;5;31,15;Téléphone;Résiliation;Oui;Non;Oui;;Oui
DOS50489;19/03/2023;AG008;222;Non;5;42,63;Courrier;Facturation;Oui;Non;Oui;10;Oui
DOS50490;28/05/2023;AG008;390;Non;;16,06;Téléphone;Relevé compteur;Non;Non;Oui;;Non
DOS50491;26/05/2023;AG012;288;Non;5;27,94;Chat;Facturation;Non;Non;Oui;;Oui
DOS50492;26/03/2023;AG008;198;Non;;40,23;Chat;Relevé compteur;Oui;Non;Oui;7;Oui
DOS50493;14/07/2023;AG025;402;Oui;5;19,06;Courrier;Souscription contrat;Oui;Non;Oui;6;Non
DOS50494;08/09/2023;AG008;324;Non;;46,24;Courrier;Facturation;Oui;Non;Non;5;Non
DOS50495;30/08/2023;AG003;402;Oui;2;26,3;Chat;Facturation;Oui;Non;Non;10;Oui
DOS50496;12/12/2023;AG008;294;Non;3;52,67;Chat;Demande d'information;Non;Non;Oui;;Oui
DOS50497;08/09/2023;AG003;624;Non;;44,15;Email;Déménagement;Oui;Non;Oui;;Non
