IdTicket,DateTicket,Operateur,TempsTraitement_Min,Resolu,Satisfaction_Client,CoutFacturation,Canal_Contact,Motif,Traite,Reprise_Appel,Conforme,Score_NPS,Motif_Reclamation
TCK20562,2023-11-30,Op005,2.4,oui,5.0,,Chat,Souscription contrat,Non,0,Vrai,,Facturation incorrecte
TCK20563,2023-03-27,Op008,2.8,Non,7.0,36.54,Chat,Demande d'information,Oui,0,Vrai,,
TCK20564,2023-08-10,Op008,4.0,1,10.0,21.67,Réseaux sociaux,Déménagement,Non,0,Vrai,,
TCK20565,2023-03-09,Op008,4.9,oui,10.0,32.67,TEL,Souscription contrat,1,0,Vrai,9.0,
TCK20566,2023-03-03,Op007,7.4,Oui,9.0,32.37,TEL,Demande d'information,1,0,Vrai,6.0,
TCK20567,2023-01-22,Op004,4.7,oui,,49.49,Mail,Relevé compteur,1,0,Vrai,6.0,
TCK20568,2023-10-17,Op006,2.9,0,,17.82,TEL,Relevé compteur,Non,1,,,
TCK20569,2023-06-22,Op008,5.0,oui,,31.85,Tel,Relevé compteur,1,0,Faux,4.0,
TCK20570,2023-09-05,Op002,7.1,Oui,6.0,39.04,Mail,Résiliation,Oui,0,Faux,,
TCK20571,2023-03-13,Op003,3.4,Oui,6.0,,Mail,Résiliation,Oui,0,Vrai,10.0,
TCK20572,2023-02-04,Op002,2.4,Oui,5.0,21.34,TEL,Changement d'offre,Non,0,Vrai,9.0,
TCK20573,2023-10-10,Op008,3.8,0,,38.78,Mail,Relevé compteur,1,0,Vrai,,
TCK20574,2023-07-28,Op006,5.4,Oui,10.0,18.53,Réseaux sociaux,Demande d'information,Non,0,Vrai,,
TCK20575,2023-02-03,Op005,0.3,oui,,43.15,Tel,Déménagement,Non,1,Vrai,4.0,
TCK20576,2023-01-03,Op005,3.7,Non,3.0,34.58,Chat,Panne compteur,1,0,Vrai,5.0,
TCK20577,2023-04-10,Op001,5.7,1,,58.78,Chat,Déménagement,Oui,1,Vrai,,
TCK20578,2023-10-30,Op003,6.2,oui,10.0,,TEL,Réclamation,Oui,0,Vrai,5.0,
TCK20579,2023-04-20,Op007,1.4,Non,4.0,14.51,Chat,Panne compteur,Non,0,Vrai,9.0,Comportement agent
TCK20580,2023-06-13,Op008,3.1,1,7.0,57.96,Mail,Souscription contrat,Non,0,Vrai,,
TCK20581,2023-10-01,Op004,4.9,oui,,45.78,Réseaux sociaux,Litige paiement,1,0,Vrai,,
TCK20582,2023-07-30,Op005,5.7,0,7.0,39.49,TEL,Facturation,1,0,Faux,,Facturation incorrecte
TCK20583,2023-09-24,Op006,6.2,Oui,5.0,32.5,Tel,Facturation,1,0,Vrai,,
TCK20584,2023-06-22,Op007,5.9,oui,9.0,39.17,Chat,Facturation,1,0,Vrai,7.0,
TCK20585,2023-09-11,Op007,4.5,0,9.0,36.92,TEL,Souscription contrat,Non,0,Vrai,,
TCK20586,2023-12-18,Op008,1.9,Oui,,10.19,TEL,Résiliation,Oui,0,Faux,8.0,
TCK20587,2023-11-28,Op005,4.1,0,1.0,22.08,Tel,Souscription contrat,0,0,Vrai,,
TCK20588,2023-03-30,Op005,0.2,Oui,4.0,32.42,Chat,Réclamation,Oui,0,Vrai,8.0,
TCK20589,2023-10-16,Op007,4.8,Non,,59.03,Tel,Panne compteur,Non,0,Vrai,7.0,
TCK20590,2023-02-01,Op005,3.3,Oui,5.0,16.68,Tel,Résiliation,1,0,Vrai,9.0,
TCK20591,2023-02-24,Op007,0.8,0,7.0,12.4,TEL,Souscription contrat,1,0,Vrai,8.0,
TCK20592,2023-02-06,Op002,5.2,oui,8.0,48.04,Chat,Réclamation,Oui,1,Vrai,,
TCK20593,2023-08-25,Op003,7.1,Oui,,17.49,Mail,Relevé compteur,0,1,,0.0,
TCK20594,2023-05-20,Op005,1.7,Oui,10.0,21.4,Tel,Déménagement,1,1,Vrai,9.0,
TCK20595,2023-07-12,Op004,5.3,0,10.0,10.58,TEL,Déménagement,0,0,Vrai,,
TCK20596,2023-01-27,Op005,3.8,0,,15.84,Réseaux sociaux,Panne compteur,0,0,Vrai,5.0,
TCK20597,2023-05-23,Op002,3.1,0,8.0,59.29,Chat,Changement d'offre,1,0,Faux,,
TCK20598,2023-09-25,Op001,3.1,1,,19.95,Chat,Déménagement,Non,0,Vrai,,
TCK20599,2023-07-05,Op006,3.8,Non,8.0,39.39,Mail,Résiliation,Oui,0,Vrai,,
TCK20600,2023-09-22,Op007,3.8,Oui,10.0,42.04,TEL,Résiliation,1,0,Vrai,3.0,
TCK20601,2023-12-07,Op008,4.4,oui,6.0,30.7,Tel,Panne compteur,0,0,Vrai,7.0,
TCK20602,2023-05-24,Op001,3.0,Oui,,42.7,Chat,Litige paiement,Oui,0,Faux,,
TCK20603,2023-06-05,Op001,3.3,1,10.0,30.81,Chat,Changement d'offre,Non,1,Vrai,3.0,
TCK20604,2023-01-29,Op003,5.5,0,9.0,38.25,Mail,Relevé compteur,1,0,Faux,5.0,
TCK20605,2023-09-25,Op007,2.8,1,9.0,52.93,Réseaux sociaux,Déménagement,Non,1,Vrai,9.0,Délai de traitement
TCK20606,2023-02-04,Op008,5.0,0,9.0,43.68,TEL,Réclamation,0,0,Vrai,8.0,
TCK20607,2023-11-11,Op008,3.9,oui,5.0,15.75,Tel,Souscription contrat,Oui,0,Vrai,,
TCK20608,2023-01-20,Op008,3.5,1,1.0,57.25,Chat,Réclamation,1,0,,,Comportement agent
TCK20609,2023-09-30,Op007,7.8,0,9.0,17.08,Tel,Panne compteur,0,0,Vrai,10.0,
TCK20610,2023-05-23,Op002,2.2,1,1.0,57.84,TEL,Litige paiement,Oui,0,,10.0,
TCK20611,2023-02-08,Op005,7.3,Oui,6.0,26.5,Réseaux sociaux,Résiliation,Oui,0,Faux,9.0,
TCK20612,2023-04-27,Op004,6.0,Oui,9.0,59.78,Chat,Réclamation,Oui,0,Vrai,7.0,
TCK20613,2023-02-02,Op001,3.4,oui,,22.63,Réseaux sociaux,Panne compteur,Non,0,Vrai,,
TCK20614,2023-01-02,Op002,6.1,oui,,24.75,TEL,Réclamation,Non,0,Vrai,10.0,
TCK20615,2023-01-21,Op004,0.4,1,,10.76,Réseaux sociaux,Souscription contrat,1,1,,2.0,
TCK20616,2023-06-27,Op008,3.2,oui,4.0,,Tel,Réclamation,Oui,0,Vrai,,
TCK20617,2023-05-02,Op001,2.8,1,,32.18,Réseaux sociaux,Souscription contrat,0,1,Vrai,10.0,
TCK20618,2023-10-15,Op004,4.7,oui,8.0,45.25,Tel,Résiliation,Non,0,Vrai,,
TCK20619,2023-01-03,Op004,4.3,Non,4.0,14.26,Mail,Souscription contrat,0,0,Faux,8.0,
TCK20620,2023-11-10,Op005,6.9,0,9.0,57.81,Mail,Réclamation,1,0,Vrai,9.0,Comportement agent
TCK20621,2023-11-06,Op001,6.8,0,9.0,10.15,Chat,Relevé compteur,Oui,0,Vrai,8.0,
TCK20622,2023-07-07,Op002,4.8,oui,6.0,56.61,Chat,Relevé compteur,0,0,Vrai,8.0,
TCK20623,2023-03-15,Op003,4.3,oui,,46.03,Tel,Litige paiement,Non,0,Vrai,,
TCK20624,2023-10-14,Op008,4.0,0,9.0,35.69,Mail,Déménagement,Non,0,Vrai,0.0,
TCK20625,2023-10-02,Op008,4.8,Non,,21.58,Tel,Relevé compteur,Non,0,Vrai,,Délai de traitement
TCK20626,2023-06-19,Op001,5.4,1,,16.75,Mail,Panne compteur,Non,0,Faux,10.0,
TCK20627,2023-06-12,Op002,3.6,1,6.0,33.43,Tel,Résiliation,0,0,Vrai,,
TCK20628,2023-08-09,Op007,2.2,1,,25.81,Réseaux sociaux,Facturation,1,0,Faux,10.0,
TCK20629,2023-08-26,Op001,4.9,Oui,5.0,31.22,Mail,Souscription contrat,Non,0,Vrai,8.0,
TCK20630,2023-06-21,Op003,2.5,oui,9.0,58.61,Mail,Demande d'information,1,0,Vrai,,
TCK20631,2023-08-26,Op002,2.8,Oui,5.0,,Mail,Panne compteur,Oui,0,Vrai,,
TCK20632,2023-12-18,Op006,5.4,1,10.0,10.02,Mail,Souscription contrat,0,0,Vrai,,
TCK20633,2023-02-03,Op004,3.2,0,,39.81,TEL,Litige paiement,0,0,Vrai,8.0,
TCK20634,2023-09-12,Op004,4.1,Non,,19.28,TEL,Réclamation,Oui,0,Vrai,3.0,
TCK20635,2023-03-15,Op005,5.3,1,9.0,42.58,TEL,Litige paiement,1,0,Vrai,0.0,
TCK20636,2023-09-26,Op004,6.3,Oui,3.0,25.97,Chat,Relevé compteur,Oui,0,Vrai,10.0,
TCK20637,2023-05-18,Op005,6.5,1,,22.61,Mail,Litige paiement,Oui,0,Vrai,,
TCK20638,2023-10-27,Op004,6.6,oui,5.0,32.62,Tel,Souscription contrat,0,1,,,Comportement agent
TCK20639,2023-11-27,Op006,4.2,Oui,9.0,,Chat,Panne compteur,Non,0,Vrai,0.0,
TCK20640,2023-08-20,Op008,2.4,0,9.0,31.32,Mail,Souscription contrat,0,0,Vrai,8.0,
TCK20641,2023-09-18,Op005,4.0,Non,9.0,36.87,TEL,Réclamation,Non,0,Vrai,4.0,
TCK20642,2023-04-17,Op003,4.4,Non,5.0,49.07,Chat,Réclamation,0,0,Vrai,4.0,
TCK20643,2023-10-08,Op006,3.8,oui,10.0,44.0,Chat,Demande d'information,Non,0,Vrai,,
TCK20644,2023-02-10,Op003,5.8,1,4.0,10.9,TEL,Litige paiement,0,0,Vrai,9.0,
TCK20645,2023-02-26,Op003,4.9,1,10.0,37.85,Tel,Changement d'offre,Non,0,Vrai,,
TCK20646,2023-04-06,Op005,4.9,1,5.0,26.19,Réseaux sociaux,Demande d'information,Non,1,Vrai,,
TCK20647,2023-08-01,Op008,7.1,Non,3.0,16.81,Réseaux sociaux,Réclamation,Oui,0,Faux,5.0,
TCK20648,2023-08-07,Op005,4.4,1,10.0,53.91,TEL,Facturation,0,0,Vrai,,
TCK20649,2023-04-08,Op003,6.3,0,,39.29,Tel,Déménagement,0,0,Vrai,6.0,
TCK20650,2023-08-13,Op003,6.4,oui,5.0,42.96,Réseaux sociaux,Relevé compteur,Oui,0,Vrai,,
TCK20651,2023-12-30,Op001,5.6,Oui,8.0,29.9,Chat,Résiliation,0,0,Vrai,,
TCK20652,2023-02-09,Op002,7.0,oui,10.0,28.68,Tel,Litige paiement,0,1,,6.0,
TCK20653,2023-10-05,Op004,4.6,oui,8.0,29.41,TEL,Déménagement,1,0,Vrai,5.0,
TCK20654,2023-02-17,Op005,5.0,0,3.0,30.66,Chat,Déménagement,1,0,Faux,3.0,
TCK20655,2023-06-15,Op001,3.2,0,10.0,30.28,Réseaux sociaux,Relevé compteur,1,0,,9.0,
TCK20656,2023-06-28,Op001,3.7,Non,,39.69,Réseaux sociaux,Résiliation,0,0,Faux,,
TCK20657,2023-06-28,Op003,4.9,1,5.0,48.6,TEL,Réclamation,Oui,0,Vrai,8.0,
TCK20658,2023-11-22,Op005,3.8,0,,54.87,TEL,Réclamation,1,1,,,
TCK20659,2023-08-16,Op005,5.2,Non,7.0,42.81,Tel,Changement d'offre,0,0,Vrai,3.0,
TCK20660,2023-12-06,Op004,4.4,Non,,37.1,Mail,Résiliation,0,0,Vrai,5.0,
TCK20661,2023-07-08,Op008,6.4,oui,,55.95,Tel,Facturation,1,1,Vrai,,
TCK20662,2023-07-15,Op003,4.3,1,,23.72,Mail,Réclamation,1,0,Vrai,,
TCK20663,2023-04-26,Op002,6.2,1,4.0,29.66,TEL,Facturation,1,0,Vrai,9.0,
TCK20664,2023-12-20,Op004,1.8,Oui,,23.43,TEL,Souscription contrat,0,0,Vrai,8.0,
TCK20665,2023-11-23,Op006,3.1,Oui,7.0,53.05,Mail,Litige paiement,Oui,0,Faux,5.0,Délai de traitement
TCK20666,2023-04-01,Op004,4.9,Non,5.0,18.64,Réseaux sociaux,Facturation,1,0,Faux,5.0,
TCK20667,2023-09-07,Op001,3.6,Oui,8.0,27.23,Chat,Réclamation,Non,1,Vrai,,
TCK20668,2023-07-18,Op003,4.3,0,8.0,48.42,TEL,Déménagement,1,0,Vrai,9.0,
TCK20669,2023-01-06,Op006,4.2,0,,54.25,TEL,Souscription contrat,0,0,Vrai,4.0,
TCK20670,2023-04-23,Op006,4.1,oui,1.0,33.52,Mail,Résiliation,Non,0,,,
TCK20671,2023-11-19,Op007,1.8,oui,10.0,53.68,Réseaux sociaux,Demande d'information,Non,0,Vrai,,
TCK20672,2023-07-15,Op005,4.6,Non,8.0,43.54,TEL,Déménagement,0,0,Vrai,3.0,
TCK20673,2023-06-29,Op001,7.4,oui,8.0,52.37,Mail,Réclamation,Oui,0,Vrai,5.0,
TCK20674,2023-04-30,Op005,4.5,oui,3.0,55.36,TEL,Souscription contrat,Non,0,Vrai,,
TCK20675,2023-09-17,Op004,4.5,1,9.0,47.02,Mail,Souscription contrat,1,0,Vrai,5.0,Comportement agent
TCK20676,2023-08-20,Op002,7.6,Oui,8.0,27.39,Réseaux sociaux,Résiliation,Non,1,Vrai,,
TCK20677,2023-11-17,Op002,9.0,oui,9.0,,Tel,Facturation,1,0,Vrai,,
TCK20678,2023-03-28,Op002,8.3,1,5.0,30.92,Tel,Panne compteur,1,0,Faux,,
TCK20679,2023-02-25,Op006,5.0,oui,,45.71,Réseaux sociaux,Changement d'offre,0,0,Vrai,9.0,
TCK20680,2023-07-13,Op002,4.4,oui,10.0,32.58,Réseaux sociaux,Litige paiement,1,0,Vrai,,
TCK20681,2023-07-23,Op006,4.6,oui,8.0,30.4,TEL,Panne compteur,Oui,0,Vrai,,
TCK20682,2023-11-08,Op001,2.5,oui,7.0,42.01,Mail,Relevé compteur,Oui,0,Vrai,,
TCK20683,2023-10-06,Op002,6.0,Non,8.0,53.87,Tel,Relevé compteur,0,0,,,
TCK20684,2023-09-15,Op007,6.0,0,,59.66,TEL,Relevé compteur,Oui,0,Vrai,8.0,
TCK20685,2023-08-26,Op008,4.2,0,10.0,15.3,TEL,Facturation,1,0,Vrai,9.0,
TCK20686,2023-12-02,Op004,6.7,0,,11.02,Chat,Changement d'offre,Oui,0,Faux,9.0,
TCK20687,2023-07-27,Op006,4.5,0,7.0,40.22,Chat,Réclamation,Non,1,Vrai,5.0,
TCK20688,2023-04-18,Op003,5.7,Oui,1.0,24.17,Réseaux sociaux,Litige paiement,0,0,Vrai,,Comportement agent
TCK20689,2023-12-13,Op003,3.7,oui,8.0,44.34,Réseaux sociaux,Relevé compteur,0,1,Vrai,,
TCK20690,2023-11-03,Op002,2.5,oui,1.0,11.74,Tel,Demande d'information,Oui,0,Vrai,10.0,
TCK20691,2023-08-21,Op001,5.7,oui,4.0,30.46,Réseaux sociaux,Panne compteur,1,0,Faux,,
TCK20692,2023-10-27,Op007,6.1,Non,8.0,50.02,Tel,Déménagement,Oui,1,,,
TCK20693,2023-08-22,Op003,3.4,1,9.0,32.85,Réseaux sociaux,Facturation,1,0,Vrai,8.0,
TCK20694,2023-08-06,Op008,7.3,Oui,,,Réseaux sociaux,Panne compteur,Non,1,Vrai,,
TCK20695,2023-03-23,Op001,7.3,0,,51.36,TEL,Facturation,0,1,Vrai,5.0,
TCK20696,2023-06-10,Op001,1.5,Non,4.0,23.25,Tel,Changement d'offre,0,0,,,Facturation incorrecte
TCK20697,2023-05-23,Op007,3.5,1,8.0,36.81,Mail,Résiliation,0,0,Vrai,9.0,Comportement agent
TCK20698,2023-06-04,Op002,0.8,1,8.0,,Mail,Relevé compteur,0,0,Vrai,8.0,
TCK20699,2023-08-17,Op005,1.3,1,7.0,14.56,Tel,Panne compteur,1,0,Vrai,0.0,
TCK20700,2023-08-11,Op007,2.9,0,10.0,19.85,Mail,Réclamation,1,0,Vrai,,
TCK20701,2023-08-10,Op005,5.8,oui,,30.64,Tel,Déménagement,1,0,Vrai,,
TCK20702,2023-05-22,Op001,5.3,0,5.0,28.57,Chat,Relevé compteur,Oui,1,Faux,9.0,
TCK20703,2023-06-03,Op002,1.9,Non,,32.45,Chat,Résiliation,Oui,0,Vrai,10.0,
TCK20704,2023-03-23,Op001,1.9,1,9.0,17.79,Mail,Résiliation,0,0,Faux,6.0,
TCK20705,2023-04-23,Op003,4.8,oui,9.0,54.02,Tel,Déménagement,0,0,,6.0,
TCK20706,2023-04-19,Op001,1.0,Oui,,11.78,Tel,Litige paiement,0,0,,7.0,
TCK20707,2023-09-10,Op002,1.8,0,6.0,34.9,Réseaux sociaux,Facturation,Non,0,Vrai,,Facturation incorrecte
TCK20708,2023-03-18,Op004,8.1,Non,5.0,45.35,Mail,Résiliation,Oui,0,Faux,9.0,
TCK20709,2023-10-06,Op008,7.8,Non,,18.87,Tel,Réclamation,1,0,Vrai,,
TCK20710,2023-08-08,Op003,5.8,oui,9.0,,Mail,Réclamation,Oui,0,Vrai,5.0,
TCK20711,2023-11-03,Op008,3.4,Oui,9.0,57.36,Réseaux sociaux,Résiliation,0,0,Vrai,,
TCK20712,2023-08-10,Op004,4.5,0,5.0,20.71,TEL,Panne compteur,0,0,Vrai,6.0,
TCK20713,2023-09-06,Op005,2.5,0,1.0,13.0,Chat,Panne compteur,Non,0,Vrai,0.0,
TCK20714,2023-06-03,Op001,2.9,0,7.0,45.5,Mail,Déménagement,0,0,Vrai,,
TCK20715,2023-05-23,Op006,3.7,Oui,9.0,36.69,Tel,Litige paiement,Non,0,Faux,6.0,
TCK20716,2023-03-03,Op006,3.6,0,8.0,40.31,Tel,Panne compteur,Non,0,Vrai,,
TCK20717,2023-03-05,Op005,5.3,oui,5.0,26.85,Chat,Litige paiement,Oui,0,Vrai,6.0,
TCK20718,2023-12-17,Op004,1.4,Oui,8.0,14.35,Tel,Litige paiement,1,0,Vrai,9.0,
TCK20719,2023-09-14,Op003,5.9,Non,5.0,21.15,Mail,Panne compteur,1,0,Faux,6.0,
TCK20720,2023-12-14,Op005,4.0,0,7.0,42.91,Réseaux sociaux,Déménagement,0,0,,8.0,
TCK20721,2023-12-11,Op003,2.2,Non,9.0,23.19,Chat,Changement d'offre,0,0,Vrai,,Facturation incorrecte
TCK20722,2023-03-28,Op007,4.5,Oui,,40.29,TEL,Facturation,Non,0,Vrai,,
TCK20723,2023-02-24,Op006,3.9,Oui,5.0,58.14,Réseaux sociaux,Facturation,Oui,0,Vrai,10.0,
TCK20724,2023-07-03,Op002,3.1,Non,,38.67,Réseaux sociaux,Facturation,1,0,Vrai,,
TCK20725,2023-05-24,Op002,8.9,Oui,5.0,56.4,Tel,Résiliation,Non,0,Faux,7.0,
TCK20726,2023-06-26,Op001,3.6,Oui,9.0,21.86,Chat,Litige paiement,0,0,Vrai,10.0,
TCK20727,2023-08-15,Op007,6.2,0,8.0,23.13,Mail,Déménagement,Oui,0,Faux,,
TCK20728,2023-02-11,Op005,7.5,0,10.0,,Réseaux sociaux,Panne compteur,1,0,Vrai,4.0,
TCK20729,2023-07-25,Op004,4.6,1,6.0,35.16,Mail,Résiliation,Oui,1,Vrai,8.0,
TCK20730,2023-10-06,Op007,4.8,0,,50.3,Chat,Résiliation,Non,1,Vrai,6.0,
TCK20731,2023-03-01,Op002,4.0,oui,10.0,24.47,Chat,Déménagement,1,0,Vrai,,
TCK20732,2023-09-01,Op004,3.0,Non,8.0,54.46,Tel,Réclamation,0,1,Faux,0.0,
TCK20733,2023-01-01,Op002,7.8,oui,,52.26,Tel,Relevé compteur,0,0,Vrai,7.0,
TCK20734,2023-05-16,Op006,8.0,Oui,9.0,54.17,Tel,Déménagement,Non,0,Vrai,1.0,
TCK20735,2023-02-27,Op006,5.0,1,4.0,34.79,Tel,Résiliation,Oui,0,Vrai,,
TCK20736,2023-05-26,Op005,6.5,Oui,9.0,,Tel,Relevé compteur,Oui,0,Vrai,,
TCK20737,2023-04-08,Op002,3.0,0,,21.0,Réseaux sociaux,Réclamation,1,0,Faux,3.0,
TCK20738,2023-06-22,Op001,6.3,0,9.0,,Réseaux sociaux,Panne compteur,1,0,Vrai,5.0,
TCK20739,2023-06-16,Op003,4.0,Oui,8.0,46.22,Chat,Déménagement,Oui,0,Vrai,,
TCK20740,2023-07-06,Op007,2.1,0,8.0,27.8,Mail,Réclamation,Non,0,Vrai,,
TCK20741,2023-09-21,Op002,3.7,Oui,,24.21,TEL,Relevé compteur,0,1,Vrai,,
TCK20742,2023-09-09,Op002,5.5,0,6.0,22.6,Mail,Demande d'information,Oui,0,Vrai,,
TCK20743,2023-11-29,Op002,3.2,Non,9.0,32.71,Chat,Panne compteur,1,0,Vrai,6.0,
TCK20744,2023-08-11,Op001,4.8,Oui,10.0,29.55,Chat,Déménagement,Non,0,Vrai,8.0,
TCK20745,2023-06-29,Op005,4.4,0,,14.0,TEL,Relevé compteur,1,0,Faux,,
TCK20746,2023-12-04,Op005,4.8,Oui,9.0,,Chat,Réclamation,Oui,0,Vrai,,
TCK20747,2023-02-26,Op007,3.0,1,,39.97,Mail,Déménagement,1,0,Vrai,9.0,
TCK20748,2023-05-12,Op005,1.6,Non,,12.7,Chat,Changement d'offre,Non,1,Faux,10.0,
TCK20749,2023-03-09,Op005,1.1,1,,35.83,Mail,Relevé compteur,0,0,Vrai,,
TCK20750,2023-02-22,Op003,2.4,Non,,15.19,Mail,Résiliation,0,0,Faux,9.0,
TCK20751,2023-08-18,Op003,4.5,0,9.0,16.18,Mail,Souscription contrat,Non,1,Vrai,,
TCK20752,2023-01-03,Op002,4.9,oui,7.0,19.82,Mail,Facturation,1,1,Faux,3.0,
TCK20753,2023-07-24,Op008,3.0,1,9.0,22.57,Chat,Résiliation,0,1,Vrai,,
TCK20754,2023-08-01,Op003,3.8,oui,4.0,26.38,TEL,Réclamation,0,0,Vrai,8.0,
TCK20755,2023-10-28,Op007,5.5,1,9.0,20.49,Réseaux sociaux,Relevé compteur,0,0,Vrai,,
TCK20756,2023-08-11,Op001,3.8,0,9.0,43.57,Tel,Demande d'information,Oui,0,,5.0,
TCK20757,2023-07-08,Op002,4.5,Non,9.0,36.16,Mail,Réclamation,1,0,Vrai,4.0,
TCK20758,2023-05-17,Op006,5.5,1,,16.36,TEL,Relevé compteur,0,0,Vrai,5.0,
TCK20759,2023-03-11,Op001,5.6,Non,8.0,29.93,Chat,Panne compteur,Non,0,Vrai,5.0,Délai de traitement
TCK20760,2023-04-17,Op001,3.5,Oui,3.0,23.16,Mail,Résiliation,Non,1,,,
TCK20761,2023-04-09,Op006,3.2,Oui,5.0,37.81,Mail,Panne compteur,1,1,Vrai,3.0,
TCK20762,2023-01-05,Op004,5.6,Oui,9.0,16.32,Mail,Facturation,1,0,Vrai,,
TCK20763,2023-05-06,Op002,4.3,Oui,9.0,58.68,Chat,Relevé compteur,1,1,Vrai,3.0,
TCK20764,2023-07-18,Op007,5.8,oui,5.0,26.95,Mail,Litige paiement,Oui,0,Vrai,9.0,
TCK20765,2023-09-29,Op004,3.2,oui,5.0,,Chat,Résiliation,0,0,Vrai,,
TCK20766,2023-07-29,Op007,6.4,1,,38.32,Mail,Déménagement,Oui,0,,5.0,
TCK20767,2023-02-07,Op003,2.2,1,7.0,33.59,TEL,Panne compteur,1,0,Vrai,,
TCK20768,2023-03-03,Op003,7.7,Non,10.0,14.39,Chat,Déménagement,Oui,0,Faux,8.0,
TCK20769,2023-07-01,Op007,4.4,oui,10.0,43.41,Chat,Panne compteur,Oui,1,Vrai,,
TCK20770,2023-05-12,Op003,5.3,0,9.0,31.86,TEL,Panne compteur,Oui,0,Vrai,,
TCK20771,2023-03-01,Op003,3.2,Non,8.0,30.18,Mail,Demande d'information,1,0,Vrai,0.0,
TCK20772,2023-08-28,Op008,4.5,Non,9.0,16.33,TEL,Facturation,0,0,Vrai,9.0,
TCK20773,2023-01-27,Op008,2.5,1,,33.83,TEL,Panne compteur,0,0,Vrai,5.0,
TCK20774,2023-04-18,Op006,3.1,Oui,10.0,34.04,Chat,Demande d'information,1,0,Vrai,5.0,
TCK20775,2023-08-01,Op003,6.0,0,4.0,59.6,Réseaux sociaux,Souscription contrat,1,0,,,
TCK20776,2023-04-01,Op005,6.1,Non,5.0,30.74,Chat,Réclamation,Oui,0,Faux,,
TCK20777,2023-10-31,Op008,5.4,1,3.0,48.39,Réseaux sociaux,Résiliation,0,0,Vrai,,
TCK20778,2023-12-02,Op003,3.7,Non,9.0,52.29,TEL,Litige paiement,Oui,0,Vrai,3.0,
TCK20779,2023-11-07,Op004,2.2,Oui,9.0,27.31,Tel,Déménagement,0,0,Vrai,6.0,Délai de traitement
TCK20780,2023-06-08,Op002,6.8,0,,39.31,Tel,Relevé compteur,0,0,Vrai,,
TCK20781,2023-01-31,Op001,6.2,Oui,,27.86,Mail,Demande d'information,Oui,0,Vrai,,
TCK20782,2023-01-10,Op002,1.2,Non,8.0,14.19,Tel,Panne compteur,0,0,Vrai,5.0,
TCK20783,2023-08-08,Op004,6.1,0,9.0,59.64,Réseaux sociaux,Réclamation,Oui,1,Vrai,6.0,
TCK20784,2023-11-14,Op005,3.8,1,5.0,42.51,Tel,Demande d'information,Oui,0,Vrai,,Facturation incorrecte
TCK20785,2023-11-29,Op006,5.8,1,6.0,26.45,TEL,Réclamation,Oui,1,,,
TCK20786,2023-03-23,Op003,1.9,oui,,27.15,TEL,Souscription contrat,Non,0,Vrai,5.0,
TCK20787,2023-12-14,Op006,3.3,Non,8.0,30.54,Mail,Facturation,Oui,1,Vrai,2.0,
TCK20788,2023-02-18,Op007,4.7,Non,2.0,57.18,Réseaux sociaux,Réclamation,0,0,Vrai,,
TCK20789,2023-06-28,Op001,7.8,Non,8.0,12.09,Réseaux sociaux,Déménagement,0,0,Vrai,10.0,
TCK20790,2023-05-15,Op006,9.3,oui,8.0,56.01,Chat,Réclamation,0,0,Vrai,10.0,
TCK20791,2023-06-07,Op002,4.7,1,5.0,,TEL,Litige paiement,Non,0,Vrai,,
TCK20792,2023-07-25,Op003,4.7,Non,,52.68,TEL,Facturation,1,0,Vrai,8.0,
TCK20793,2023-07-26,Op004,3.4,Non,10.0,22.1,TEL,Réclamation,Non,0,Vrai,,
TCK20794,2023-10-23,Op003,4.9,oui,9.0,42.86,Réseaux sociaux,Changement d'offre,Non,0,Vrai,9.0,Facturation incorrecte
TCK20795,2023-07-12,Op008,4.7,oui,8.0,31.95,Tel,Relevé compteur,Oui,0,Vrai,2.0,Délai de traitement
TCK20796,2023-09-23,Op006,3.6,oui,,44.49,Tel,Changement d'offre,1,0,Vrai,6.0,
TCK20797,2023-05-07,Op005,4.4,Non,5.0,34.09,Tel,Facturation,0,0,Faux,7.0,
TCK20798,2023-05-18,Op002,4.0,1,5.0,13.22,Tel,Panne compteur,Non,0,Vrai,5.0,
TCK20799,2023-09-01,Op007,3.8,Oui,,38.71,Mail,Résiliation,1,0,Vrai,,
TCK20800,2023-05-15,Op008,4.7,Oui,2.0,50.86,TEL,Souscription contrat,Non,0,Faux,,
TCK20801,2023-05-28,Op003,8.8,1,10.0,53.05,Tel,Souscription contrat,Non,0,Vrai,,
TCK20802,2023-07-27,Op007,3.2,oui,,,Mail,Déménagement,Non,1,Faux,,
TCK20803,2023-09-25,Op008,7.6,Oui,8.0,38.28,Mail,Réclamation,Oui,0,Vrai,,
TCK20804,2023-03-30,Op001,2.1,Non,5.0,55.85,TEL,Litige paiement,1,0,Vrai,,
TCK20805,2023-09-22,Op004,6.9,0,10.0,16.7,Chat,Déménagement,Oui,1,Faux,,
TCK20806,2023-01-29,Op005,4.0,1,5.0,28.68,Réseaux sociaux,Déménagement,0,0,Vrai,9.0,
TCK20807,2023-03-08,Op004,3.3,oui,,,Mail,Déménagement,Non,0,Vrai,,
TCK20808,2023-05-18,Op007,5.2,1,7.0,32.15,Mail,Souscription contrat,0,1,Vrai,,
TCK20809,2023-06-13,Op004,2.0,Non,6.0,11.71,Mail,Résiliation,Oui,0,Vrai,,
