N_Contact,Date,Agent_ID,Handling_Time_Sec,Status,Rating,Billed_Amount,Channel,Topic,Handled,Repeat_Call,Compliance,NPS_Score,Complaint
CNT-70491,05/14/2023,109,316,Pending,5.0,35.99,Email,Réclamation,Yes,No,Compliant,6.0,No
CNT-70492,04/21/2023,109,262,resolved,,9.77,Phone,Résiliation,Yes,Yes,N/A,6.0,Yes
CNT-70493,01/20/2023,106,153,Pending,2.0,25.06,Email,Réclamation,Yes,No,Compliant,,No
CNT-70494,10/13/2023,103,255,resolved,5.0,26.29,Email,Relevé compteur,Yes,Yes,Compliant,7.0,No
CNT-70495,03/15/2023,101,180,Resolved,5.0,27.22,Phone,Litige paiement,Yes,No,Compliant,,No
CNT-70496,03/13/2023,101,246,Unresolved,,40.02,Chat,Panne compteur,Yes,No,Compliant,7.0,No
CNT-70497,05/05/2023,106,216,Unresolved,4.0,24.13,Chat,Facturation,Yes,No,Compliant,,No
CNT-70498,12/03/2023,107,174,Resolved,3.0,26.35,Email,Facturation,Yes,Yes,Compliant,0.0,Yes
CNT-70499,06/20/2023,107,401,resolved,4.0,,phone,Demande d'information,No,No,Compliant,,No
CNT-70500,03/23/2023,103,320,Unresolved,4.0,13.46,phone,Souscription contrat,Yes,Yes,Non-compliant,,No
CNT-70501,08/15/2023,108,268,Pending,4.0,,Social Media,Résiliation,No,Yes,Compliant,6.0,No
CNT-70502,05/08/2023,108,269,Resolved,3.0,47.91,Chat,Souscription contrat,Yes,No,Compliant,,No
CNT-70503,04/08/2023,102,220,resolved,4.0,49.58,Email,Réclamation,Yes,No,Compliant,,No
CNT-70504,12/04/2023,103,-31,Unresolved,4.0,35.44,Email,Relevé compteur,Yes,Yes,Compliant,5.0,No
CNT-70505,02/25/2023,107,115,Pending,5.0,31.78,Email,Résiliation,Yes,No,Compliant,2.0,No
CNT-70506,04/17/2023,101,350,Unresolved,,39.6,Chat,Facturation,Yes,No,Compliant,2.0,No
CNT-70507,01/24/2023,108,292,Unresolved,4.0,29.37,Chat,Relevé compteur,Yes,No,Compliant,7.0,No
CNT-70508,08/03/2023,106,474,Unresolved,4.0,27.68,Chat,Facturation,Yes,Yes,Non-compliant,,No
CNT-70509,05/19/2023,109,201,Resolved,,27.77,Email,Changement d'offre,Yes,No,Compliant,,No
CNT-70510,06/05/2023,102,392,resolved,4.0,20.43,Chat,Réclamation,No,No,Compliant,5.0,No
CNT-70511,04/02/2023,101,255,Pending,3.0,30.43,Email,Changement d'offre,Yes,No,Non-compliant,7.0,No
CNT-70512,02/05/2023,101,184,Pending,5.0,48.29,Social Media,Souscription contrat,No,No,Non-compliant,5.0,No
CNT-70513,07/28/2023,106,230,resolved,4.0,44.04,Email,Facturation,Yes,No,Compliant,,No
CNT-70514,01/08/2023,102,280,Unresolved,4.0,23.25,Phone,Déménagement,No,No,N/A,3.0,No
CNT-70515,12/30/2023,101,220,Resolved,5.0,49.79,Email,Résiliation,Yes,No,N/A,7.0,No
CNT-70516,11/30/2023,108,156,resolved,3.0,32.28,Social Media,Facturation,Yes,No,Compliant,,No
CNT-70517,04/19/2023,101,181,Unresolved,4.0,43.24,Chat,Souscription contrat,Yes,Yes,Compliant,10.0,No
CNT-70518,02/19/2023,102,321,resolved,5.0,11.52,Chat,Souscription contrat,No,No,Compliant,8.0,No
CNT-70519,04/20/2023,102,170,Pending,4.0,46.68,Email,Réclamation,Yes,No,N/A,,No
CNT-70520,01/19/2023,102,N/A,Unresolved,2.0,48.91,Chat,Litige paiement,Yes,No,Non-compliant,8.0,No
CNT-70521,08/24/2023,101,207,resolved,5.0,49.61,phone,Souscription contrat,Yes,No,Compliant,,No
CNT-70522,10/21/2023,104,173,resolved,4.0,,Social Media,Facturation,Yes,No,Non-compliant,,No
CNT-70523,06/18/2023,103,294,Pending,5.0,29.75,Email,Changement d'offre,Yes,No,Compliant,9.0,No
CNT-70524,12/31/2023,109,406,Unresolved,5.0,32.35,phone,Réclamation,Yes,No,Non-compliant,,No
CNT-70525,03/15/2023,103,556,Pending,4.0,9.77,Email,Souscription contrat,Yes,Yes,Compliant,9.0,No
CNT-70526,12/05/2023,108,361,Resolved,5.0,13.73,Chat,Résiliation,Yes,No,Compliant,,No
CNT-70527,10/08/2023,103,360,Unresolved,2.0,32.38,Social Media,Panne compteur,Yes,No,Compliant,7.0,No
CNT-70528,06/30/2023,108,441,Resolved,4.0,12.5,Chat,Déménagement,Yes,No,Compliant,7.0,Yes
CNT-70529,03/15/2023,103,328,Resolved,3.0,34.69,Chat,Déménagement,Yes,No,Compliant,5.0,No
CNT-70530,03/10/2023,106,265,Unresolved,5.0,40.71,phone,Facturation,Yes,No,Compliant,7.0,No
CNT-70531,03/18/2023,109,78,Resolved,,37.93,Social Media,Relevé compteur,Yes,No,Compliant,10.0,No
CNT-70532,05/26/2023,109,282,Resolved,4.0,48.73,Email,Relevé compteur,Yes,No,Compliant,4.0,No
CNT-70533,05/15/2023,102,163,Resolved,4.0,15.43,phone,Litige paiement,Yes,Yes,Compliant,4.0,No
CNT-70534,11/13/2023,105,305,Resolved,4.0,40.73,Email,Litige paiement,Yes,Yes,Compliant,8.0,No
CNT-70535,01/11/2023,108,338,Unresolved,5.0,20.56,Chat,Résiliation,Yes,No,Compliant,8.0,No
CNT-70536,04/19/2023,102,312,resolved,3.0,23.75,Phone,Réclamation,Yes,No,Non-compliant,8.0,Yes
CNT-70537,08/27/2023,107,232,Resolved,3.0,11.58,Social Media,Panne compteur,Yes,No,Compliant,9.0,No
CNT-70538,06/08/2023,106,162,Pending,5.0,41.66,Phone,Résiliation,Yes,No,Compliant,10.0,No
CNT-70539,12/29/2023,106,286,Unresolved,4.0,35.31,Social Media,Relevé compteur,Yes,No,Compliant,,No
CNT-70540,06/17/2023,106,289,Unresolved,3.0,13.6,Chat,Résiliation,Yes,No,Compliant,,No
CNT-70541,10/07/2023,102,299,resolved,3.0,24.62,Social Media,Litige paiement,Yes,No,Non-compliant,5.0,No
CNT-70542,09/16/2023,104,217,Unresolved,5.0,48.87,Email,Déménagement,Yes,No,Compliant,,No
CNT-70543,08/28/2023,105,402,Pending,3.0,39.17,phone,Facturation,No,No,Non-compliant,,No
CNT-70544,12/06/2023,109,323,resolved,4.0,30.99,Email,Changement d'offre,Yes,No,Compliant,8.0,No
CNT-70545,09/21/2023,102,300,Unresolved,4.0,20.85,Phone,Litige paiement,Yes,No,Compliant,7.0,No
CNT-70546,08/27/2023,103,127,Pending,5.0,22.39,Chat,Changement d'offre,Yes,No,Compliant,3.0,No
CNT-70547,11/26/2023,107,134,Resolved,,18.96,Email,Relevé compteur,Yes,No,Non-compliant,8.0,No
CNT-70548,01/11/2023,105,343,Unresolved,5.0,21.59,phone,Résiliation,Yes,No,Compliant,9.0,No
CNT-70549,12/24/2023,102,282,Unresolved,3.0,16.65,phone,Réclamation,Yes,Yes,Compliant,,No
CNT-70550,11/22/2023,101,309,Resolved,5.0,47.16,Email,Panne compteur,Yes,Yes,Compliant,7.0,No
CNT-70551,02/10/2023,104,329,Resolved,4.0,15.79,Chat,Litige paiement,Yes,No,Non-compliant,,No
CNT-70552,12/03/2023,108,273,Unresolved,5.0,34.19,Social Media,Résiliation,Yes,No,Compliant,8.0,No
CNT-70553,03/04/2023,108,145,resolved,,28.69,Phone,Litige paiement,No,No,N/A,10.0,No
CNT-70554,08/12/2023,109,138,resolved,5.0,28.66,phone,Facturation,Yes,No,Compliant,,No
CNT-70555,10/16/2023,103,297,Resolved,5.0,35.98,Email,Changement d'offre,Yes,No,N/A,9.0,No
CNT-70556,04/03/2023,109,443,Unresolved,5.0,27.5,Phone,Déménagement,No,No,Non-compliant,,No
CNT-70557,01/03/2023,106,191,resolved,2.0,22.68,Social Media,Panne compteur,No,No,Compliant,,No
CNT-70558,10/11/2023,104,184,Pending,4.0,9.95,Email,Réclamation,Yes,No,Compliant,5.0,Yes
CNT-70559,04/03/2023,102,92,Pending,3.0,36.41,Phone,Souscription contrat,Yes,No,Non-compliant,9.0,No
CNT-70560,11/13/2023,102,218,Resolved,4.0,10.89,Phone,Souscription contrat,Yes,No,Non-compliant,8.0,No
CNT-70561,12/12/2023,106,359,Unresolved,,,Social Media,Relevé compteur,No,No,Compliant,,No
CNT-70562,07/31/2023,108,228,Pending,,39.28,Social Media,Panne compteur,yes,No,Compliant,,No
CNT-70563,03/04/2023,102,168,Pending,5.0,21.05,Social Media,Panne compteur,No,No,Compliant,,No
CNT-70564,04/18/2023,108,77,Resolved,4.0,13.83,Chat,Litige paiement,Yes,Yes,Compliant,8.0,No
CNT-70565,11/21/2023,104,421,Pending,4.0,22.54,Social Media,Litige paiement,Yes,No,Compliant,,No
CNT-70566,12/06/2023,101,333,resolved,5.0,13.91,Chat,Litige paiement,Yes,No,Compliant,7.0,No
CNT-70567,09/17/2023,105,408,Resolved,5.0,15.7,Email,Changement d'offre,No,No,Compliant,,No
CNT-70568,09/25/2023,109,N/A,Resolved,3.0,23.33,Phone,Litige paiement,Yes,Yes,Compliant,,No
CNT-70569,06/02/2023,109,310,Resolved,2.0,33.41,Email,Panne compteur,,No,Compliant,,No
CNT-70570,03/07/2023,107,207,Resolved,4.0,9.83,Phone,Facturation,Yes,No,N/A,8.0,Yes
CNT-70571,04/26/2023,109,168,Unresolved,4.0,40.5,Phone,Relevé compteur,No,Yes,Compliant,,No
CNT-70572,01/30/2023,105,382,resolved,,38.04,Chat,Panne compteur,Yes,No,Compliant,3.0,No
CNT-70573,09/09/2023,107,221,Unresolved,4.0,,Chat,Litige paiement,Yes,No,Non-compliant,,Yes
CNT-70574,05/18/2023,109,206,Pending,4.0,16.59,Phone,Relevé compteur,Yes,No,Compliant,3.0,No
CNT-70575,11/23/2023,105,342,Unresolved,3.0,48.85,Social Media,Souscription contrat,Yes,No,Compliant,2.0,No
CNT-70576,06/02/2023,105,339,resolved,3.0,,Email,Relevé compteur,Yes,No,Non-compliant,9.0,No
CNT-70577,10/30/2023,106,311,resolved,5.0,9.54,Chat,Facturation,Yes,Yes,Compliant,,No
CNT-70578,06/17/2023,109,389,Pending,4.0,12.2,phone,Réclamation,Yes,No,Non-compliant,9.0,No
CNT-70579,03/09/2023,108,182,Resolved,4.0,32.26,Phone,Résiliation,Yes,No,Compliant,8.0,No
CNT-70580,10/05/2023,102,228,Unresolved,5.0,18.67,Social Media,Litige paiement,Yes,No,Compliant,,No
CNT-70581,03/26/2023,109,255,Pending,5.0,20.68,Email,Déménagement,Yes,No,Non-compliant,,No
CNT-70582,12/09/2023,107,288,Pending,3.0,18.94,Chat,Déménagement,No,No,Compliant,10.0,No
CNT-70583,03/14/2023,105,175,resolved,5.0,20.38,phone,Réclamation,Yes,No,Compliant,3.0,No
CNT-70584,11/16/2023,106,252,Unresolved,4.0,25.08,Phone,Souscription contrat,Yes,No,Compliant,9.0,No
CNT-70585,05/06/2023,107,354,resolved,1.0,38.68,Phone,Réclamation,Yes,No,Non-compliant,,No
CNT-70586,08/30/2023,103,475,resolved,4.0,22.06,phone,Relevé compteur,Yes,No,Compliant,9.0,No
CNT-70587,08/28/2023,109,159,Unresolved,5.0,40.67,Chat,Facturation,Yes,No,Compliant,9.0,Yes
CNT-70588,07/06/2023,103,172,Pending,5.0,48.26,Chat,Demande d'information,Yes,No,Compliant,,Yes
CNT-70589,10/31/2023,106,185,Pending,5.0,27.8,Phone,Réclamation,yes,No,Compliant,7.0,No
CNT-70590,06/21/2023,103,326,Pending,2.0,20.66,Email,Demande d'information,No,No,Compliant,9.0,No
CNT-70591,03/28/2023,101,165,Resolved,4.0,19.96,phone,Relevé compteur,No,Yes,Compliant,7.0,No
CNT-70592,04/28/2023,101,248,resolved,5.0,33.88,Email,Relevé compteur,Yes,No,Compliant,10.0,No
CNT-70593,06/19/2023,103,238,Resolved,5.0,,Email,Litige paiement,Yes,No,Non-compliant,7.0,No
CNT-70594,02/25/2023,105,252,resolved,4.0,34.72,phone,Résiliation,Yes,No,Compliant,,No
CNT-70595,06/27/2023,107,154,Resolved,5.0,43.8,Phone,Facturation,Yes,No,Compliant,8.0,No
CNT-70596,03/27/2023,102,324,Unresolved,2.0,18.63,Social Media,Réclamation,Yes,No,Non-compliant,,No
CNT-70597,08/13/2023,101,204,Pending,,36.75,phone,Changement d'offre,Yes,No,Compliant,,No
CNT-70598,08/04/2023,106,162,Unresolved,3.0,38.28,phone,Facturation,No,No,Compliant,9.0,No
CNT-70599,09/18/2023,103,242,Resolved,3.0,17.93,Email,Relevé compteur,Yes,Yes,Compliant,8.0,No
CNT-70600,11/02/2023,106,212,Unresolved,5.0,35.78,Chat,Déménagement,Yes,Yes,Compliant,,No
CNT-70601,05/15/2023,107,151,resolved,5.0,18.59,Email,Relevé compteur,Yes,No,Compliant,5.0,No
CNT-70602,04/08/2023,106,5,resolved,4.0,18.59,Chat,Souscription contrat,Yes,No,Compliant,,No
CNT-70603,03/15/2023,105,158,resolved,5.0,11.2,phone,Relevé compteur,Yes,Yes,Compliant,10.0,No
CNT-70604,07/01/2023,108,400,Unresolved,5.0,38.33,phone,Déménagement,Yes,No,Compliant,,No
CNT-70605,05/07/2023,109,225,Unresolved,4.0,44.29,Email,Facturation,Yes,No,Compliant,,No
CNT-70606,06/19/2023,106,240,Resolved,,23.51,Chat,Résiliation,Yes,No,Non-compliant,7.0,No
CNT-70607,06/07/2023,102,94,Resolved,5.0,23.59,Social Media,Résiliation,Yes,Yes,N/A,,No
CNT-70608,11/26/2023,109,308,Unresolved,3.0,49.68,phone,Souscription contrat,Yes,No,Compliant,8.0,Yes
CNT-70609,04/06/2023,101,326,resolved,5.0,34.15,Chat,Relevé compteur,Yes,No,N/A,,No
CNT-70610,11/20/2023,103,172,Pending,4.0,49.86,phone,Facturation,Yes,No,Compliant,,No
CNT-70611,02/10/2023,105,252,Unresolved,3.0,31.61,phone,Changement d'offre,Yes,No,Compliant,,No
CNT-70612,01/01/2023,104,183,Pending,2.0,31.46,phone,Souscription contrat,Yes,No,Compliant,,No
CNT-70613,09/05/2023,109,423,resolved,5.0,47.65,Social Media,Relevé compteur,Yes,No,Compliant,10.0,No
CNT-70614,03/10/2023,105,208,resolved,5.0,15.23,phone,Panne compteur,Yes,No,Compliant,10.0,No
CNT-70615,05/10/2023,103,176,Pending,1.0,41.48,Social Media,Relevé compteur,Yes,No,Compliant,9.0,No
CNT-70616,06/20/2023,107,273,resolved,,25.66,Phone,Réclamation,No,No,Compliant,,No
CNT-70617,08/26/2023,105,N/A,Resolved,5.0,,phone,Demande d'information,Yes,Yes,Compliant,,Yes
CNT-70618,11/10/2023,103,314,resolved,5.0,18.74,Chat,Litige paiement,No,No,Compliant,,No
CNT-70619,01/14/2023,104,420,Resolved,4.0,19.75,Social Media,Résiliation,Yes,No,Compliant,,No
CNT-70620,10/09/2023,107,N/A,Pending,,20.94,Chat,Facturation,yes,No,Compliant,4.0,No
CNT-70621,10/06/2023,107,230,Pending,,42.11,phone,Panne compteur,yes,No,Compliant,,No
CNT-70622,06/03/2023,102,474,resolved,2.0,,Chat,Relevé compteur,Yes,No,Compliant,,No
CNT-70623,05/24/2023,109,234,resolved,2.0,16.76,Social Media,Facturation,Yes,No,Compliant,,No
CNT-70624,02/04/2023,105,63,Pending,3.0,30.58,Chat,Changement d'offre,Yes,No,Compliant,,No
CNT-70625,04/02/2023,105,296,Unresolved,5.0,41.01,Email,Réclamation,Yes,No,Non-compliant,,No
CNT-70626,07/28/2023,106,193,resolved,4.0,,Chat,Souscription contrat,Yes,No,Compliant,2.0,No
CNT-70627,06/15/2023,106,383,Unresolved,,37.47,Phone,Relevé compteur,Yes,No,Compliant,7.0,No
CNT-70628,04/24/2023,102,276,Resolved,5.0,15.08,Email,Souscription contrat,No,Yes,Compliant,6.0,No
CNT-70629,05/26/2023,103,316,Resolved,4.0,36.87,Phone,Changement d'offre,Yes,No,Compliant,10.0,No
CNT-70630,10/28/2023,103,20,Pending,3.0,11.34,Social Media,Panne compteur,Yes,Yes,Compliant,6.0,Yes
CNT-70631,04/09/2023,107,294,Pending,3.0,24.61,Chat,Demande d'information,Yes,No,Compliant,,No
CNT-70632,03/17/2023,107,336,Resolved,4.0,25.19,phone,Souscription contrat,Yes,No,Compliant,9.0,No
CNT-70633,03/03/2023,102,255,Unresolved,4.0,26.56,Social Media,Souscription contrat,No,No,Compliant,8.0,Yes
CNT-70634,07/02/2023,101,147,resolved,5.0,15.91,Chat,Souscription contrat,Yes,No,Compliant,2.0,No
CNT-70635,04/21/2023,106,499,resolved,4.0,9.76,Email,Panne compteur,Yes,No,Compliant,,Yes
CNT-70636,09/06/2023,102,332,Unresolved,2.0,13.36,Chat,Panne compteur,Yes,No,Non-compliant,,No
CNT-70637,04/16/2023,109,278,Resolved,,17.65,phone,Facturation,No,No,Compliant,,No
CNT-70638,11/08/2023,106,376,Pending,4.0,20.04,phone,Déménagement,Yes,No,Compliant,8.0,No
CNT-70639,02/27/2023,109,210,resolved,4.0,45.16,Chat,Changement d'offre,Yes,Yes,Compliant,,No
CNT-70640,04/12/2023,103,454,Resolved,5.0,24.08,Social Media,Déménagement,Yes,No,Compliant,,No
CNT-70641,08/20/2023,108,334,Pending,4.0,41.06,Social Media,Relevé compteur,Yes,No,N/A,,Yes
CNT-70642,05/10/2023,108,365,Resolved,4.0,39.95,Chat,Souscription contrat,,No,Compliant,,No
CNT-70643,06/03/2023,109,228,Unresolved,3.0,30.2,Chat,Litige paiement,Yes,No,Compliant,2.0,No
CNT-70644,06/26/2023,106,155,Resolved,2.0,43.47,Email,Résiliation,Yes,No,Compliant,,No
CNT-70645,09/19/2023,107,280,Pending,,41.27,Chat,Déménagement,Yes,No,N/A,,No
CNT-70646,02/24/2023,102,214,resolved,5.0,48.54,Phone,Facturation,No,No,Compliant,6.0,No
CNT-70647,11/04/2023,105,468,resolved,5.0,45.04,phone,Changement d'offre,Yes,Yes,Compliant,7.0,No
CNT-70648,06/02/2023,106,130,Resolved,5.0,34.34,phone,Changement d'offre,Yes,No,Compliant,8.0,No
CNT-70649,11/30/2023,102,405,Resolved,5.0,32.59,Social Media,Panne compteur,Yes,No,Compliant,4.0,No
CNT-70650,08/05/2023,107,101,Pending,,25.69,Phone,Panne compteur,Yes,Yes,Compliant,2.0,No
CNT-70651,07/15/2023,109,173,Pending,4.0,32.53,phone,Relevé compteur,Yes,No,Compliant,5.0,No
CNT-70652,11/25/2023,103,99,Unresolved,4.0,40.2,phone,Relevé compteur,No,No,Compliant,4.0,No
CNT-70653,02/22/2023,108,211,Pending,4.0,30.79,phone,Facturation,Yes,Yes,Compliant,10.0,No
CNT-70654,06/18/2023,107,241,Pending,5.0,45.28,Chat,Relevé compteur,Yes,No,Compliant,,No
CNT-70655,08/14/2023,107,199,Pending,4.0,39.96,Social Media,Réclamation,,Yes,Compliant,,No
CNT-70656,09/05/2023,102,304,Pending,3.0,12.14,Chat,Résiliation,No,Yes,Compliant,,Yes
CNT-70657,04/06/2023,107,242,Pending,,48.41,Phone,Déménagement,No,No,Compliant,7.0,No
CNT-70658,11/04/2023,106,64,resolved,,31.1,Email,Demande d'information,Yes,No,Compliant,4.0,No
CNT-70659,01/09/2023,101,168,Unresolved,4.0,41.67,phone,Déménagement,Yes,Yes,Compliant,,No
CNT-70660,05/10/2023,108,227,Unresolved,2.0,26.62,Chat,Déménagement,Yes,No,Compliant,,Yes
CNT-70661,09/06/2023,108,371,Unresolved,4.0,15.08,Email,Relevé compteur,Yes,No,Non-compliant,6.0,No
CNT-70662,01/18/2023,103,273,resolved,3.0,11.64,phone,Relevé compteur,Yes,No,Compliant,7.0,Yes
CNT-70663,12/06/2023,106,215,Resolved,5.0,39.09,phone,Déménagement,Yes,No,Compliant,8.0,No
CNT-70664,08/17/2023,105,120,Unresolved,4.0,31.12,Phone,Demande d'information,Yes,No,Compliant,,No
CNT-70665,07/04/2023,108,278,Pending,3.0,16.5,Social Media,Résiliation,Yes,No,Compliant,,No
CNT-70666,11/28/2023,101,N/A,Pending,4.0,27.94,Phone,Réclamation,Yes,No,Compliant,4.0,No
CNT-70667,08/05/2023,107,231,Unresolved,5.0,15.1,Social Media,Déménagement,No,Yes,Compliant,,No
CNT-70668,06/15/2023,103,176,Unresolved,3.0,39.28,Social Media,Panne compteur,Yes,Yes,Compliant,,No
CNT-70669,11/02/2023,109,319,resolved,4.0,28.65,Phone,Souscription contrat,No,No,Compliant,9.0,No
CNT-70670,02/14/2023,103,376,Unresolved,4.0,38.05,phone,Souscription contrat,Yes,No,Compliant,,No
CNT-70671,12/14/2023,109,244,Unresolved,4.0,10.35,Email,Déménagement,Yes,No,Compliant,,No
CNT-70672,03/13/2023,102,331,Resolved,3.0,9.75,Email,Souscription contrat,Yes,No,Compliant,,No
CNT-70673,10/27/2023,107,220,Pending,5.0,31.36,Phone,Résiliation,Yes,No,Compliant,,No
CNT-70674,06/22/2023,108,336,resolved,3.0,40.18,phone,Changement d'offre,Yes,Yes,N/A,,No
CNT-70675,02/11/2023,109,403,resolved,1.0,38.75,Email,Déménagement,Yes,No,Non-compliant,7.0,No
CNT-70676,04/19/2023,109,352,resolved,4.0,35.47,Chat,Relevé compteur,Yes,No,Non-compliant,5.0,No
CNT-70677,04/01/2023,101,315,resolved,4.0,25.5,Phone,Facturation,No,No,Non-compliant,,No
CNT-70678,08/24/2023,104,440,Pending,4.0,44.93,Email,Litige paiement,Yes,No,Compliant,10.0,No
CNT-70679,07/09/2023,109,236,resolved,2.0,20.16,Chat,Déménagement,Yes,No,Compliant,,No
CNT-70680,12/01/2023,105,315,resolved,,32.72,Chat,Réclamation,No,No,Non-compliant,,No
CNT-70681,03/03/2023,106,239,Resolved,5.0,16.34,Chat,Changement d'offre,Yes,No,Compliant,7.0,No
CNT-70682,07/01/2023,101,315,Pending,5.0,17.53,Email,Litige paiement,Yes,No,Non-compliant,,No
CNT-70683,04/30/2023,109,332,Resolved,1.0,44.92,Chat,Déménagement,Yes,No,Compliant,7.0,No
CNT-70684,03/01/2023,105,359,Unresolved,3.0,22.52,Chat,Déménagement,Yes,No,Compliant,,No
CNT-70685,03/13/2023,105,266,resolved,4.0,11.54,phone,Déménagement,Yes,No,Compliant,,No
CNT-70686,06/15/2023,101,85,Resolved,4.0,38.32,Chat,Changement d'offre,No,No,Compliant,2.0,No
CNT-70687,02/18/2023,102,241,Pending,2.0,48.24,Chat,Déménagement,Yes,No,Compliant,,No
CNT-70688,12/05/2023,103,328,Pending,4.0,27.57,Social Media,Facturation,,No,N/A,,No
CNT-70689,10/10/2023,101,293,Unresolved,5.0,40.64,Phone,Déménagement,Yes,No,Compliant,10.0,No
CNT-70690,12/02/2023,106,308,resolved,4.0,29.82,phone,Réclamation,Yes,No,Compliant,5.0,No
CNT-70691,10/26/2023,104,339,resolved,4.0,34.66,Chat,Réclamation,Yes,No,Compliant,,No
CNT-70692,04/12/2023,103,155,Pending,3.0,42.19,Email,Changement d'offre,Yes,No,Compliant,,No
CNT-70693,07/20/2023,106,344,Resolved,3.0,47.96,Phone,Demande d'information,Yes,Yes,Compliant,8.0,No
CNT-70694,01/22/2023,104,446,resolved,5.0,39.22,Chat,Réclamation,No,Yes,Non-compliant,7.0,No
CNT-70695,11/10/2023,105,227,Resolved,,36.15,phone,Souscription contrat,Yes,No,Compliant,3.0,No
CNT-70696,07/09/2023,101,361,resolved,5.0,27.41,Chat,Demande d'information,Yes,No,Compliant,6.0,No
CNT-70697,05/07/2023,103,272,Pending,4.0,11.51,Chat,Souscription contrat,Yes,No,Compliant,4.0,No
CNT-70698,05/13/2023,101,305,Pending,4.0,43.82,phone,Souscription contrat,Yes,No,N/A,9.0,No
CNT-70699,09/30/2023,107,350,Resolved,3.0,14.68,Phone,Relevé compteur,Yes,Yes,N/A,8.0,No
CNT-70700,10/03/2023,108,293,Resolved,4.0,42.75,Social Media,Souscription contrat,No,No,Non-compliant,6.0,No
CNT-70701,03/15/2023,108,222,Resolved,5.0,38.06,Phone,Réclamation,No,No,Compliant,,No
CNT-70702,09/28/2023,107,297,Resolved,5.0,45.45,phone,Demande d'information,Yes,No,Compliant,,No
CNT-70703,05/23/2023,109,176,resolved,3.0,26.45,Social Media,Réclamation,Yes,Yes,N/A,4.0,No
CNT-70704,01/08/2023,107,121,Resolved,4.0,12.37,Social Media,Panne compteur,No,No,Compliant,8.0,No
CNT-70705,05/30/2023,105,50,Unresolved,3.0,45.57,Chat,Changement d'offre,Yes,No,Compliant,2.0,No
CNT-70706,06/24/2023,109,410,Unresolved,4.0,17.31,Phone,Relevé compteur,Yes,No,N/A,,No
CNT-70707,04/01/2023,102,311,Resolved,5.0,36.37,Email,Changement d'offre,No,Yes,N/A,,Yes
CNT-70708,01/10/2023,102,333,Unresolved,3.0,43.06,Social Media,Changement d'offre,Yes,No,Non-compliant,,No
CNT-70709,09/06/2023,106,287,resolved,4.0,47.48,Phone,Résiliation,Yes,No,Compliant,,No
CNT-70710,10/24/2023,108,101,Pending,,,Social Media,Réclamation,Yes,No,Non-compliant,9.0,No
CNT-70711,02/25/2023,108,402,resolved,4.0,11.32,Email,Résiliation,Yes,No,Compliant,,No
CNT-70712,08/03/2023,108,143,Unresolved,2.0,28.18,Social Media,Panne compteur,Yes,No,N/A,,No
CNT-70713,01/04/2023,102,380,Unresolved,4.0,36.95,phone,Facturation,Yes,No,Compliant,,No
CNT-70714,09/06/2023,109,42,Resolved,5.0,18.83,Social Media,Relevé compteur,No,No,Compliant,10.0,No
CNT-70715,05/26/2023,103,164,Resolved,5.0,24.27,Social Media,Relevé compteur,Yes,No,Compliant,,No
CNT-70716,04/22/2023,109,156,Unresolved,4.0,23.47,Phone,Résiliation,yes,Yes,Compliant,,No
CNT-70717,08/09/2023,109,280,Pending,5.0,31.43,Phone,Litige paiement,Yes,No,Non-compliant,1.0,No
CNT-70718,09/20/2023,109,206,resolved,3.0,47.98,Phone,Litige paiement,,No,Compliant,,No
CNT-70719,06/14/2023,102,263,Pending,,20.29,Social Media,Litige paiement,Yes,No,Compliant,,No
CNT-70720,02/21/2023,101,153,Resolved,5.0,10.71,phone,Réclamation,Yes,Yes,Compliant,,No
CNT-70721,07/20/2023,105,283,Unresolved,5.0,24.56,Chat,Litige paiement,Yes,Yes,Compliant,4.0,No
CNT-70722,06/21/2023,101,173,Unresolved,1.0,21.85,Social Media,Souscription contrat,Yes,No,Compliant,8.0,No
CNT-70723,04/16/2023,103,287,Unresolved,5.0,26.13,phone,Litige paiement,Yes,No,Compliant,5.0,No
CNT-70724,01/26/2023,101,262,Resolved,,12.49,Email,Litige paiement,Yes,No,Compliant,8.0,No
CNT-70725,02/14/2023,104,136,Unresolved,5.0,10.91,Social Media,Relevé compteur,Yes,Yes,Compliant,8.0,No
CNT-70726,03/19/2023,108,95,Resolved,,12.91,Phone,Litige paiement,Yes,No,Compliant,8.0,No
CNT-70727,11/27/2023,101,272,Resolved,2.0,26.38,Chat,Résiliation,Yes,No,Compliant,,No
CNT-70728,07/12/2023,104,282,Resolved,1.0,42.44,phone,Réclamation,Yes,No,Compliant,9.0,No
CNT-70729,10/01/2023,105,302,Unresolved,2.0,44.75,Social Media,Changement d'offre,Yes,No,Compliant,8.0,No
CNT-70730,04/05/2023,104,99,Resolved,5.0,16.45,Email,Changement d'offre,Yes,No,Compliant,,No
CNT-70731,02/23/2023,106,389,Resolved,3.0,37.15,Chat,Réclamation,Yes,No,Compliant,10.0,No
CNT-70732,11/11/2023,106,258,resolved,4.0,38.67,Email,Souscription contrat,Yes,No,Compliant,3.0,No
CNT-70733,02/27/2023,101,277,Pending,4.0,29.3,phone,Demande d'information,Yes,No,Compliant,,No
CNT-70734,06/21/2023,104,65,Pending,,29.69,Email,Résiliation,Yes,Yes,Compliant,6.0,No
